"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14"
"Proportion (%)","6.5709","5.3676","4.4824","7.3046","6.0138","11.2739","6.1061","7.0374","10.181","9.4222","4.337","7.233","8.8796","5.7904"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","bund","leben","anleger","stadt","banken","wachstum","merkel"
"3","kunden","regierung","energien","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","zentralbank","wirtschaft","partei"
"4","firmen","grossbritannien","energiewende","umsatz","peking","politik","anleger","gesetz","mann","dollar","hamburger","zinsen","quartal","cdu"
"5","firma","russland","gas","milliarden","chinas","heute","kunden","spd","frauen","investoren","muenchen","geldpolitik","deutschland","fdp"
"6","internet","bruessel","energie","mio","iran","gibt","geld","eichel","menschen","analysten","millionen","notenbank","konjunktur","koalition"
"7","manager","land","preise","millionen","obama","deutschland","euro","arbeitnehmer","frau","boerse","berlin","eurozone","unternehmen","gruenen"
"8","daten","britische","barrel","gewinn","krieg","freiheit","immobilien","arbeitgeber","eltern","boersen","messe","griechenland","deutschen","union"
"9","digitalisierung","britischen","eon","quartal","bush","europa","versicherer","reform","familie","kurse","bayern","inflation","rueckgang","schroeder"
"10","mitarbeitern","briten","erneuerbaren","aktie","washington","soziale","sparkassen","gewerkschaften","leute","anleihen","berliner","fed","deutsche","csu"
"11","digitale","london","tonnen","mill","irak","globalisierung","investoren","ig","maenner","punkten","trainer","iwf","aufschwung","kanzlerin"
"12","google","parlament","opec","unternehmen","praesident","demokratie","zinsen","berlin","vater","gold","hochschulen","staatsanleihen","entwicklung","angela"
"13","digitalen","tuerkei","pro","jahr","amerika","sozialen","rendite","metall","paar","punkte","spieler","dollar","investitionen","stoiber"
"14","branche","europaeischen","verbraucher","geschaeft","chinesischen","staat","aktien","beschaeftigten","heute","aktienmarkt","saison","draghi","industrie","parteien"
"15","fuehrungskraefte","premier","kraftwerke","siemens","land","buerger","wohnungen","arbeit","erzaehlt","aktie","studium","euroraum","konsum","waehler"
"16","neue","putin","rwe","vorstandschef","amerikaner","leben","altersvorsorge","unternehmen","mutter","usa","fc","euro","rezession","kanzler"
"17","unternehmens","russischen","co","uebernahme","chinesische","tun","risiken","kommission","stadt","bank","fussball","italien","deutlich","seehofer"
