"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14"
"Proportion (%)","6.5699","5.3439","4.5183","7.286","6.0463","11.2468","6.0761","7.0465","10.1739","9.4311","4.345","7.2167","8.8912","5.8083"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","euro","leben","anleger","stadt","banken","wachstum","merkel"
"3","kunden","regierung","energien","mrd","usa","gesellschaft","fonds","bund","kinder","dax","studenten","zentralbank","wirtschaft","partei"
"4","firmen","grossbritannien","energiewende","umsatz","peking","politik","anleger","gesetz","mann","dollar","hamburger","geldpolitik","quartal","cdu"
"5","firma","russland","energie","milliarden","chinas","heute","kunden","spd","frauen","investoren","muenchen","zinsen","deutschland","fdp"
"6","internet","bruessel","gas","mio","obama","gibt","geld","eichel","menschen","analysten","millionen","notenbank","konjunktur","koalition"
"7","manager","land","preise","millionen","iran","deutschland","euro","arbeitnehmer","frau","boerse","messe","eurozone","unternehmen","gruenen"
"8","daten","britische","barrel","gewinn","krieg","freiheit","immobilien","arbeitgeber","eltern","boersen","berlin","griechenland","deutschen","union"
"9","digitalisierung","britischen","erneuerbaren","quartal","washington","europa","versicherer","reform","familie","kurse","bayern","inflation","rueckgang","schroeder"
"10","mitarbeitern","briten","eon","aktie","bush","soziale","sparkassen","gewerkschaften","leute","anleihen","berliner","fed","deutsche","csu"
"11","digitale","london","tonnen","mill","irak","globalisierung","investoren","ig","maenner","punkten","trainer","iwf","aufschwung","kanzlerin"
"12","google","parlament","co","unternehmen","praesident","demokratie","rendite","berlin","vater","gold","hochschulen","staatsanleihen","entwicklung","angela"
"13","digitalen","tuerkei","pro","jahr","chinesischen","sozialen","zinsen","metall","paar","punkte","saison","dollar","investitionen","stoiber"
"14","branche","europaeischen","opec","geschaeft","amerika","staat","aktien","beschaeftigten","heute","aktienmarkt","spieler","draghi","industrie","parteien"
"15","fuehrungskraefte","premier","verbraucher","siemens","land","buerger","wohnungen","unternehmen","erzaehlt","aktie","studium","euroraum","konsum","waehler"
"16","startups","putin","rwe","vorstandschef","amerikaner","leben","altersvorsorge","arbeit","mutter","usa","fc","euro","deutlich","kanzler"
"17","unternehmens","russischen","kraftwerke","uebernahme","chinesische","tun","risiken","kommission","stadt","bank","fussball","italien","rezession","ministerpraesident"
"18","neue","frankreich","klimaschutz","analysten","trumps","zukunft","eigenkapital","muesse","spaeter","minus","verein","europaeischen","arbeitsmarkt","seehofer"
"19","mittelstaendler","moskau","preis","rund","praesidenten","frage","markt","regelung","buch","fed","gaeste","notenbanken","erwartet","sozialdemokraten"
"20","anbieter","may","kohle","konzerns","staaten","politischen","vermoegen","kommunen","jahre","papiere","mannschaft","europaeische","oekonomen","wahl"
"21","telekom","russische","landwirtschaft","geschaeftsjahr","israel","wissen","kredite","rente","junge","index","kunst","waehrung","prognose","afd"
"22","software","pfund","produktion","daimler","regierung","fragen","kapital","clement","tag","aktienmaerkte","messen","usa","nachfrage","wahlkampf"
"23","unternehmer","europa","bauern","bayer","donald","marktwirtschaft","renditen","gesetzlichen","kind","rendite","liga","waehrungsunion","erholung","bundestagswahl"
"24","produkte","referendum","foerderung","vw","uspraesident","beispiel","immobilie","gewerkschaft","geschichte","experten","koeln","schulden","weltwirtschaft","bundestag"
"25","geschaeft","ukraine","industrie","volkswagen","afghanistan","bevoelkerung","sparer","fordert","zeit","quartal","euro","zinssenkung","bip","opposition"
"26","arbeiten","polen","klimawandel","verkauf","amerikanischen","brauchen","commerzbank","duerfen","jungen","woche","mark","finanzmaerkte","firmen","berlin"
"27","chef","praesident","liter","aktionaere","russland","sicherheit","mieter","vorschlag","schule","leitindex","besucher","krise","befragten","gabriel"
"28","gruender","landes","anlagen","dollar","demokraten","denken","bafin","betriebe","sohn","maerkte","touristen","rezession","anstieg","merkels"
"29","berater","union","erneuerbare","lufthansa","new","verantwortung","risiko","regelungen","kindern","wall","universitaeten","kredite","kommenden","liberalen"
"30","deutschland","austritt","jahr","ersten","republikaner","wissenschaft","mieten","verfahren","macht","plus","hotels","wachstum","rechnet","gerhard"
"31","beispiel","italien","nachfrage","ergebnis","welt","bildung","institute","bahn","hause","morgan","reisen","maerkte","verbraucher","bayern"
"32","amazon","johnson","kosten","konzernchef","dollar","wohlstand","anleihen","regierung","alt","dow","geschaeftsfuehrer","staaten","plus","amt"
"33","markt","koenigreich","oelpreis","thyssenkrupp","chinesen","recht","private","deutschland","job","freitag","universitaet","waehrungsfonds","vorjahr","linken"
"34","geschaeftsfuehrer","berlusconi","ausbau","sap","xi","zeit","immobilienfonds","entwurf","alten","street","klubs","oekonomen","prognosen","politik"
"35","facebook","russlands","dollar","branche","soldaten","politische","frankfurt","bundestag","uhr","markt","hochschule","leitzinsen","zahl","mehrheit"
"36","mittelstand","sarkozy","erdgas","konkurrenten","george","gerade","kaeufer","handelsblatt","arbeit","gewinne","sport","wirtschaft","rechnen","westerwelle"
"37","management","premierminister","branche","bmw","hongkong","herr","wirecard","urteil","sitzt","boersianer","bundesliga","anleihen","monaten","regierung"
"38","familienunternehmen","cameron","gold","operative","amerikanische","macht","investieren","kosten","kirche","anlegern","quadratmeter","geld","gestiegen","gruene"
"39","nutzer","grossbritanniens","wasser","vorjahr","york","system","finanzkrise","union","bisschen","usnotenbank","fans","japan","exporte","soeder"
"40","informationen","insel","umwelt","hersteller","amerikas","arbeit","versicherungen","betroffenen","liebe","renditen","veranstalter","regierung","umfrage","ministerpraesidenten"
"41","nutzen","argentinien","bau","operativen","region","glaube","banker","koalition","gibt","staatsanleihen","hotel","leitzins","bruttoinlandsprodukt","linke"
"42","computer","europaeische","cent","kunden","sanktionen","geht","branche","geplante","konnte","haendler","  ","finanzmaerkten","erwarten","umfragen"
"43","intelligenz","ungarn","bp","zahlen","nato","verstehen","deutschen","sprecher","film","aktienkurse","veranstaltungen","yen","china","kohl"
"44","technik","politische","wind","autos","westen","vertrauen","investment","milliarden","alte","fiel","senat","europa","stimmung","muentefering"
"45","apple","frankreichs","rund","boerse","syrien","rolle","allianz","mindestlohn","frueher","aktienindex","tourismus","trichet","zweiten","bundeskanzlerin"
"46","berger","verhandlungen","energieversorgung","ag","vereinigten","politiker","hedgefonds","gesetzentwurf","haus","zinsen","aussteller","finanzminister","vergangenen","scholz"
"47","gibt","eustaaten","hersteller","boersengang","barack","angst","investiert","bundes","stunden","titel","hannover","konjunktur","minus","schaeuble"
"48","netz","erdogan","grad","vergangenen","landes","buch","anbieter","massnahmen","beruf","fondsmanager","klub","bank","halbjahr","laschet"
"49","microsoft","brasilien","millionen","unternehmens","europaeer","gesellschaftlichen","vermieter","bundesrat","geht","aktienmaerkten","bachelor","weltwirtschaft","stark","bundeskanzler"
"50","neuen","paris","rohstoffe","aufsichtsrat","clinton","richtig","ertraege","gesetzgeber","kunst","vergangenen","dortmund","risiken","vergleich","stimmen"
"51","innovationen","kommission","markt","hauptversammlung","arabischen","generation","kredit","forderung","lebt","notierte","hansestadt","bernanke","duerfte","macron"
"52","deutschen","theresa","emissionen","fusion","beziehungen","autor","jahren","bundesfinanzminister","gut","mdax","hoeness","spanien","ersten","minister"
"53","business","konservativen","erdoel","vorstand","indien","kapitalismus","investmentbanking","forderte","gefuehl","euro","bremen","notenbanker","arbeitslosigkeit","steinbrueck"
"54","deutsche","eukommission","megawatt","bank","biden","entscheidungen","kaufen","gesetzliche","angst","commerzbank","spiele","greenspan","lage","kanzleramt"
"55","werbung","regierungschef","netz","verlust","armee","aufgabe","privatanleger","laender","gerne","erwartet","gmbh","duisenberg","wirtschaftsforschung","politischen"
"56","industrie","praesidenten","kohlendioxid","air","gewalt","darf","privaten","vorschlaege","kopf","verlor","absolventen","finanzkrise","wirtschaftswachstum","schulz"
"57","technologien","abkommen","erde","mitarbeiter","weissen","kultur","beispielsweise","patienten","fragt","analyst","flughafen","milliarden","eurozone","fraktion"
"58","siemens","franzosen","tonne","basf","putin","braucht","bieten","rentenversicherung","bilder","jones","kuenstler","zinssenkungen","wirtschaftsleistung","merz"
"59","beratung","hollande","eeg","halbjahr","nordkorea","geschichte","anlegern","gericht","mensch","zaehler","vereine","griechischen","usa","horst"
"60","gerade","politischen","kernenergie","dividende","volksrepublik","lernen","ackermann","kassen","maedchen","erholung","spielen","regierungen","steigen","parteichef"
"61","partner","premierministerin","jahren","airbus","w","oekonomischen","kapitalmarkt","arbeitsplaetze","namen","donnerstag","urlauber","usnotenbank","institut","parteitag"
"62","ag","regierungschefs","versorger","porsche","nahen","debatte","preise","regeln","ging","konjunkturdaten","master","chefvolkswirt","jahres","gewaehlt"
"63","online","chirac","autos","kaeser","terror","integration","eigentuemer","kritisierte","erinnert","kurs","muenchner","inflationsrate","branchen","linkspartei"
"64","konzerne","sozialisten","deutschland","aktienkurs","fuehrung","jahrhundert","kfw","heisst","roman","bundesanleihen","schueler","bundesbank","punkte","sonntag"
"65","technologie","mehrheit","benzin","autobauer","europa","institutionen","geschaeft","oeffentlichen","strasse","goldman","wm","zentralbanken","trotz","edmund"
"66","kommunikation","wladimir","erwaermung","gesamtjahr","militaerische","grenzen","finanzaufsicht","arbeitsmarkt","geboren","unternehmen","tui","griechenlands","rund","lindner"
"67","unternehmensberatung","franzoesischen","tiere","sparte","terroristen","begriff","darlehen","koenne","lang","jp","league","griechische","insgesamt","wahlen"
"68","beispielsweise","europas","lebensmittel","markt","politische","handeln","wertpapiere","finanzminister","tod","rund","hsv","preisstabilitaet","niveau","landtag"
"69","studie","spanien","energiepolitik","opel","terrorismus","ordnung","geldanlage","geplanten","musik","deutlich","stuttgart","ezbpraesident","gesunken","koalitionspartner"
"70","cloud","tuerkische","kilometer","tochter","taliban","finden","unternehmen","eukommission","karriere","maerkten","uni","waehrungshueter","export","steinmeier"
