"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.5411","5.2652","4.7591","7.26","6.2172","10.9967","5.9891","7.0098","10.073","9.4712","4.3531","7.2377","9.0337","5.7933"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","gas","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wachstum","merkel"
"3","kunden","regierung","oel","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","banken","wirtschaft","partei"
"4","firmen","grossbritannien","energien","umsatz","peking","politik","anleger","gesetz","mann","dollar","muenchen","geldpolitik","quartal","cdu"
"5","firma","russland","energiewende","milliarden","chinas","heute","kunden","spd","frauen","investoren","hamburger","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","mio","obama","gibt","geld","arbeitgeber","menschen","analysten","messe","notenbank","unternehmen","koalition"
"7","manager","land","erneuerbaren","millionen","krieg","freiheit","euro","eichel","frau","boerse","millionen","inflation","konjunktur","gruenen"
"8","daten","britische","preise","gewinn","iran","deutschland","immobilien","arbeitnehmer","eltern","kurse","berlin","eurozone","deutschen","union"
"9","digitalisierung","britischen","co","quartal","washington","europa","versicherer","reform","familie","boersen","bayern","griechenland","rueckgang","schroeder"
"10","mitarbeitern","briten","tonnen","unternehmen","praesident","soziale","sparkassen","gewerkschaften","leute","anleihen","fc","fed","deutsche","csu"
"11","digitale","london","barrel","aktie","russland","globalisierung","zinsen","ig","maenner","gold","saison","iwf","aufschwung","kanzlerin"
"12","google","parlament","eon","mill","chinesischen","demokratie","investoren","berlin","paar","punkten","trainer","staatsanleihen","entwicklung","angela"
"13","digitalen","premier","pro","geschaeft","bush","sozialen","wohnungen","beschaeftigten","vater","aktie","spieler","draghi","investitionen","kanzler"
"14","startups","europaeischen","verbraucher","jahr","land","leben","rendite","metall","heute","aktienmarkt","berliner","euroraum","industrie","stoiber"
"15","branche","tuerkei","kohle","siemens","irak","staat","aktien","unternehmen","erzaehlt","punkte","hochschulen","italien","konsum","parteien"
"16","fuehrungskraefte","frankreich","klimaschutz","vorstandschef","amerika","buerger","eigenkapital","arbeit","mutter","usa","studium","dollar","deutlich","waehler"
"17","neue","putin","rwe","analysten","chinesische","tun","altersvorsorge","kommission","stadt","bank","fussball","euro","arbeitsmarkt","ministerpraesident"
"18","unternehmens","moskau","kraftwerke","uebernahme","amerikaner","zukunft","markt","muesse","spaeter","minus","gaeste","europaeischen","rezession","wahl"
"19","mittelstaendler","russischen","preis","rund","staaten","frage","vermoegen","regelung","buch","fed","verein","notenbanken","prognose","wahlkampf"
"20","software","may","opec","konzerns","praesidenten","politischen","immobilie","kommunen","jahre","papiere","messen","europaeische","erwartet","afd"
"21","anbieter","pfund","produktion","geschaeftsjahr","trumps","wissen","kredite","rente","junge","index","mannschaft","usa","oekonomen","sozialdemokraten"
"22","arbeiten","europa","industrie","daimler","regierung","fragen","risiken","gesetzlichen","tag","rendite","kunst","waehrung","nachfrage","seehofer"
"23","gruender","russische","landwirtschaft","bayer","israel","marktwirtschaft","commerzbank","gewerkschaft","kind","aktienmaerkte","liga","schulden","erholung","bundestag"
"24","telekom","referendum","erdgas","volkswagen","putin","bevoelkerung","kapital","clement","jungen","experten","besucher","waehrungsunion","weltwirtschaft","bundestagswahl"
"25","produkte","polen","bauern","vw","donald","beispiel","mieter","fordert","geschichte","woche","euro","rezession","firmen","opposition"
"26","unternehmer","johnson","foerderung","aktionaere","uspraesident","brauchen","renditen","betriebe","zeit","quartal","hotels","finanzmaerkte","bip","scholz"
"27","beispiel","landes","anlagen","verkauf","afghanistan","sicherheit","sparer","duerfen","schule","leitindex","reisen","zinssenkung","befragten","berlin"
"28","geschaeft","praesident","klimawandel","lufthansa","demokraten","verantwortung","bafin","vorschlag","sohn","maerkte","koeln","kredite","anstieg","liberalen"
"29","chef","union","erneuerbare","ersten","amerikanischen","denken","mieten","regelungen","kindern","wall","touristen","oekonomen","kommenden","gabriel"
"30","berater","austritt","liter","dollar","sanktionen","wissenschaft","wirecard","bahn","macht","plus","sport","krise","rechnet","merkels"
"31","amazon","koenigreich","jahr","konzernchef","new","politische","risiko","verfahren","hause","morgan","mark","maerkte","verbraucher","amt"
"32","markt","italien","ausbau","bmw","welt","recht","institute","entwurf","alt","renditen","hotel","leitzinsen","plus","linken"
"33","facebook","premierminister","kosten","ergebnis","republikaner","wohlstand","frankfurt","regierung","job","zinsen","veranstalter","staaten","vorjahr","bayern"
"34","geschaeftsfuehrer","ukraine","nachfrage","sap","xi","zeit","anleihen","handelsblatt","sitzt","gewinne","klubs","wachstum","prognosen","gerhard"
"35","familienunternehmen","berlusconi","wasser","operative","westen","gerade","private","urteil","arbeit","dow","fans","anleihen","rechnen","politik"
"36","deutschland","sarkozy","wasserstoff","thyssenkrupp","ukraine","bildung","kaeufer","bundestag","uhr","street","bundesliga","wirtschaft","zahl","gruene"
"37","mittelstand","cameron","oelpreis","branche","soldaten","herr","immobilienfonds","betroffenen","bisschen","markt","universitaeten","waehrungsfonds","monaten","regierung"
"38","management","grossbritanniens","deutschland","konkurrenten","dollar","macht","deutschen","sprecher","alten","usnotenbank","geschaeftsfuehrer","leitzins","gestiegen","mehrheit"
"39","nutzer","insel","cent","hersteller","chinesen","system","finanzkrise","koalition","gibt","freitag","hochschule","geld","umfrage","soeder"
"40","informationen","russlands","bau","kunden","nato","geht","versicherungen","kosten","liebe","anlegern","universitaet","regierung","exporte","westerwelle"
"41","intelligenz","europaeische","branche","vorjahr","hongkong","glaube","investieren","massnahmen","kirche","boersianer","tourismus","finanzmaerkten","erwarten","linke"
"42","nutzen","argentinien","energieversorgung","operativen","york","arbeit","banker","gesetzentwurf","film","staatsanleihen","quadratmeter","europa","zweiten","ministerpraesidenten"
"43","computer","ungarn","dollar","boersengang","amerikanische","verstehen","branche","deutschland","konnte","aktienkurse","hannover","japan","bruttoinlandsprodukt","umfragen"
"44","technik","frankreichs","emissionen","boerse","george","angst","vermieter","bundes","stunden","haendler","veranstaltungen","yen","china","kohl"
"45","apple","kommission","grad","autos","biden","politiker","allianz","mindestlohn","frueher","fiel","aussteller","finanzminister","duerfte","bundeskanzler"
"46","gibt","politische","umwelt","vergangenen","amerikas","buch","investment","union","alte","fondsmanager","  ","konjunktur","stark","bundeskanzlerin"
"47","microsoft","verhandlungen","wind","zahlen","region","richtig","hedgefonds","forderung","haus","aktienmaerkten","klub","trichet","vergleich","muentefering"
"48","innovationen","paris","gold","basf","russischen","vertrauen","anbieter","gesetzgeber","beruf","aktienindex","spiele","bank","stimmung","merz"
"49","berger","eustaaten","hersteller","ag","russische","gesellschaftlichen","investiert","geplante","geht","titel","senat","risiken","minus","macron"
"50","technologie","eukommission","bp","unternehmens","landes","rolle","kredit","milliarden","gut","vergangenen","flughafen","weltwirtschaft","vergangenen","lindner"
"51","business","erdogan","netz","aufsichtsrat","syrien","autor","ertraege","laender","lebt","notierte","dortmund","notenbanker","halbjahr","stimmen"
"52","netz","praesidenten","rohstoffe","halbjahr","vereinigten","generation","eigentuemer","gericht","kunst","commerzbank","hoeness","inflationsrate","lage","laschet"
"53","werbung","brasilien","rund","porsche","europaeer","entscheidungen","investmentbanking","forderte","gefuehl","erwartet","bachelor","bernanke","arbeitslosigkeit","schaeuble"
"54","neuen","konservativen","bundesregierung","vorstand","volksrepublik","kapitalismus","darlehen","gesetzliche","gerne","mdax","hansestadt","spanien","wirtschaftsforschung","kanzleramt"
"55","technologien","abkommen","nord","hauptversammlung","barack","grenzen","kaufen","rentenversicherung","kopf","euro","urlauber","greenspan","ersten","minister"
"56","gerade","franzosen","erdoel","fusion","indien","braucht","jahren","bundesrat","mensch","analyst","kuenstler","regierungen","wirtschaftswachstum","politischen"
"57","partner","theresa","tonne","bank","moskau","geschichte","kfw","bundesfinanzminister","fragt","verlor","bremen","finanzkrise","wirtschaftsleistung","fraktion"
"58","beratung","regierungschef","millionen","verlust","armee","darf","preise","regeln","ging","jones","tui","milliarden","branchen","steinbrueck"
"59","industrie","mehrheit","erde","mitarbeiter","beziehungen","aufgabe","privaten","heisst","angst","zaehler","gmbh","usnotenbank","steigen","gewaehlt"
"60","deutschen","hollande","gruene","dividende","clinton","jahrhundert","bieten","oeffentlichen","bilder","erholung","absolventen","chefvolkswirt","eurozone","schulz"
"61","beispielsweise","politischen","kohlendioxid","air","arabischen","handeln","finanzaufsicht","patienten","strasse","kurs","spielen","duisenberg","institut","parteichef"
"62","online","premierministerin","stream","airbus","europa","lernen","privatanleger","vorschlaege","erinnert","deutlich","vereine","zinssenkungen","rund","sonntag"
