"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","5.3901","6.3891","4.7968","4.6121","4.9547","5.5955","5.9242","3.9161","3.0665","3.6653","3.2942","4.5053","5.1532","6.0654","3.8712","4.601","4.207","8.6751","4.8147","4.5741","6.1665","6.7779","4.9658","5.997","5.7145","7.4688","4.9587","6.0356","4.5941","6.1094","7.1938","3.8693","4.4276","4.1863","4.1483","3.703","6.7717","6.6002","4.4034","7.1755","3.9804","5.5513","5.183","6.9099","4.8808","7.2071","3.8568","4.4222","6.7477","4.924","4.0942","5.2362","9.6789","8.046","9.9874","5.274","5.8203","5.1959","4.493","4.1279","6.5722","14.2156","9.9021","6.0123","5.7612","6.4784","5.3282","5.7201","3.8277","4.4214","6.3826","6.7507","7.74","4.3765","4.3785","6.9168","2.8917","1.8276","3.557","3.6636","3.3569"
"Share (in %) on ""wirtschaft""-corpus","0.3444","0.3582","0.3776","0.4602","0.2856","0.3848","0.486","0.2961","0.3098","0.2585","0.1958","0.2649","0.3393","0.3719","0.2349","0.2833","0.2163","0.5033","0.295","0.2383","0.2933","0.3477","0.223","0.3088","0.2545","0.3522","0.3181","0.3813","0.3166","0.3472","0.4847","0.3486","0.3648","0.2605","0.2684","0.2402","0.4766","0.5155","0.3675","0.5776","0.3074","0.4399","0.5435","0.721","0.3651","0.6085","0.3681","0.3609","0.5554","0.3671","0.3155","0.342","0.6913","0.4736","0.7452","0.4236","0.4998","0.356","0.3561","0.3422","0.716","1.4526","1.2677","0.7673","0.7809","0.7111","0.4866","0.5776","0.3361","0.4435","0.6246","0.7276","0.9609","0.4248","0.51","0.7213","0.4065","0.2543","0.3864","0.4192","0.3187"
"Share (in Promille) on entire corpus","0.9846","0.9917","0.9983","1.2521","0.7839","1.0481","1.4699","0.8972","0.877","0.7311","0.535","0.7347","0.9431","1.042","0.6155","0.7876","0.5771","1.3771","0.7747","0.653","0.7519","0.8572","0.5433","0.8069","0.6696","0.9347","0.8363","1.0442","0.8656","0.9416","1.3411","1.198","1.3037","0.8997","0.8533","0.6793","1.4493","1.58","1.1291","1.8511","0.9989","1.3948","1.7899","2.3844","1.141","1.9853","1.1663","1.1706","1.7798","1.1821","0.9853","1.0599","2.2119","1.5387","2.3214","1.3433","1.5885","1.136","1.13","1.0326","2.2125","4.6576","3.8302","2.4116","2.4718","2.233","1.5406","1.8148","1.069","1.3968","2.0887","2.4189","3.0964","1.4517","1.7638","2.5197","1.5656","1.1021","1.4887","1.5785","1.2163"
"1","regierung","regierung","argentinien","eu","argentinien","regierung","brasilien","eu","chirac","polen","regierung","russland","eu","eu","russland","tuerkei","russland","eu","eu","tuerkei","russland","eu","eu","russland","eu","sarkozy","tuerkei","russland","regierung","russland","russland","russland","ukraine","russland","russland","eu","eu","eu","eu","eu","eu","land","italien","italien","sarkozy","hollande","regierung","cameron","eu","regierung","regierung","eu","russland","russland","schottland","russland","russland","russland","olexander","eu","eu","eu","eu","eu","eu","may","grossbritannien","brexit","brexit","eu","eu","brexit","brexit","eu","brexit","johnson","eu","eu","eu","eu","eu"
"2","tuerkei","eu","regierung","regierung","regierung","argentinien","argentinien","tuerkei","frankreich","regierung","eu","putin","tuerkei","regierung","eu","eu","regierung","verfassung","regierung","regierung","ukraine","russland","regierung","eu","russland","russland","russland","prodi","putin","brown","russischen","sarkozy","russland","eu","eu","schweiz","griechenland","regierung","berlusconi","land","italien","eu","berlusconi","berlusconi","eu","regierung","hollande","regierung","cameron","frankreich","russland","ukraine","ukraine","eu","russland","russischen","moskau","eu","eu","pfund","grossbritannien","grossbritannien","grossbritannien","brexit","grossbritannien","eu","brexit","eu","eu","brexit","brexit","eu","eu","brexit","grossbritannien","brexit","johnson","britische","johnson","grossbritannien","astrazeneca"
"3","brasilien","argentinien","eu","argentinien","bruessel","brasilien","iwf","regierung","regierung","eu","frankreich","eu","regierung","tuerkei","moskau","russland","verfassung","euverfassung","tuerkei","eu","eu","regierung","russland","polen","frankreich","putin","regierung","putin","klerk","eu","moskau","eu","eu","praesident","russischen","russland","schweiz","land","regierung","regierung","land","sarkozy","tremonti","monti","monti","sarkozy","monti","monti","monti","eu","berlusconi","russland","eu","putin","russischen","putin","ukraine","cameron","russland","erdogan","brexit","brexit","brexit","grossbritannien","london","grossbritannien","eu","may","grossbritannien","grossbritannien","grossbritannien","may","may","grossbritannien","eu","eu","britischen","grossbritannien","brexit","brexit","britische"
"4","russland","cavallo","brasilien","cavallo","eu","le","regierung","brasilien","eu","russland","russische","tuerkei","russland","polen","regierung","regierung","juschtschenko","frankreich","russland","barroso","russische","italien","blair","russische","blair","regierung","sarkozy","zuma","eu","regierung","medwedjew","moskau","sarkozy","ungarn","bruessel","papandreou","land","athen","sarkozy","sarkozy","sarkozy","premier","putin","eu","regierung","frankreich","berlusconi","eu","berlusconi","hollande","land","kiew","moskau","schulz","putin","russische","putin","pfund","london","akp","russland","briten","london","may","may","brexit","london","grossbritannien","britischen","bruessel","britischen","britische","grossbritannien","britischen","britischen","grossbritannien","brexit","britischen","britische","britische","impfstoff"
"5","eu","brasilien","land","bruessel","peso","polen","tuerkei","lula","tuerkei","kirchner","russland","yukos","putin","juncker","russischen","putin","kiew","tuerkei","juschtschenko","europa","russischen","moskau","italia","russischen","putin","russische","praesident","brown","russland","rom","russische","regierung","schweiz","bulgarien","barroso","premier","athen","sarkozy","land","premier","regierung","frankreich","regierung","regierung","frankreich","eu","land","samaras","regierung","italien","premier","janukowitsch","russische","ukraine","eu","russlands","russischen","briten","britischen","tuerkei","britische","london","britische","london","brexit","theresa","britischen","britische","london","london","britische","grossbritannien","britische","bruessel","johnson","britischen","grossbritannien","pfund","bruessel","pfund","grossbritannien"
"6","argentinien","berlusconi","russland","russland","land","pen","land","praesident","paris","tuerkei","land","regierung","zapatero","bruessel","tuerkei","ukraine","bruessel","franzosen","ukraine","parlament","putin","frankreich","brown","europa","regierung","eu","tuerkischen","regierung","moskau","medwedjew","putin","tuerkei","moskau","parlament","russische","land","regierung","griechenland","premier","russland","bruessel","regierung","russland","papandreou","italien","rajoy","premier","parlament","bruessel","paris","erdogan","land","russischen","krim","russische","eu","eu","britische","madrid","spanien","briten","austritt","britischen","britische","briten","britische","briten","london","britische","britische","briten","britischen","britischen","britische","pfund","britische","britische","johnson","pfund","johnson","moutier"
"7","iwf","dervis","tuerkei","land","chirac","eu","eu","lateinamerika","bruessel","frankreich","polen","chodorkowski","spanien","europa","russische","polen","land","chirac","praesident","bruessel","frankreich","brasilien","russische","regierung","praesident","polen","parlament","russischen","tuerkische","moskau","regierung","land","premier","regierung","sozialisten","regierung","barroso","griechische","parlament","berlusconi","russland","juncker","medwedjew","sarkozy","land","land","frankreich","italien","bersani","russland","italien","putin","sanktionen","sanktionen","schottischen","rubel","grossbritannien","russischen","katalonien","london","britischen","britische","briten","britischen","britische","briten","britische","britischen","may","may","london","london","premierministerin","pfund","britische","london","pfund","england","britischen","britischen","johnson"
