"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.5535","5.3168","4.6353","7.2404","6.2013","11.1209","6.0215","7.022","10.0922","9.4155","4.373","7.2322","8.9522","5.8233"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wachstum","merkel"
"3","kunden","regierung","energien","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","banken","wirtschaft","partei"
"4","firmen","grossbritannien","energiewende","umsatz","peking","politik","anleger","gesetz","mann","dollar","hamburger","geldpolitik","quartal","cdu"
"5","firma","russland","gas","milliarden","chinas","heute","kunden","spd","frauen","investoren","muenchen","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","mio","obama","gibt","geld","eichel","menschen","analysten","millionen","notenbank","konjunktur","koalition"
"7","manager","land","preise","millionen","iran","deutschland","euro","arbeitgeber","frau","boerse","messe","eurozone","unternehmen","gruenen"
"8","daten","britische","erneuerbaren","gewinn","krieg","freiheit","immobilien","arbeitnehmer","eltern","boersen","berlin","inflation","deutschen","union"
"9","digitalisierung","britischen","tonnen","quartal","washington","europa","versicherer","reform","familie","kurse","bayern","griechenland","rueckgang","schroeder"
"10","mitarbeitern","briten","barrel","aktie","praesident","soziale","sparkassen","gewerkschaften","leute","anleihen","saison","fed","deutsche","csu"
"11","digitale","london","eon","unternehmen","bush","globalisierung","investoren","ig","maenner","gold","trainer","iwf","aufschwung","kanzlerin"
"12","google","parlament","co","mill","chinesischen","demokratie","zinsen","berlin","vater","punkten","fc","staatsanleihen","entwicklung","angela"
"13","digitalen","tuerkei","pro","jahr","irak","sozialen","rendite","beschaeftigten","paar","aktienmarkt","spieler","draghi","investitionen","stoiber"
"14","startups","premier","rwe","geschaeft","land","leben","aktien","metall","heute","aktie","berliner","euroraum","industrie","parteien"
"15","branche","europaeischen","kohle","siemens","amerika","staat","wohnungen","unternehmen","erzaehlt","punkte","hochschulen","dollar","konsum","kanzler"
"16","fuehrungskraefte","putin","verbraucher","vorstandschef","russland","buerger","altersvorsorge","arbeit","mutter","usa","studium","italien","deutlich","waehler"
"17","unternehmens","frankreich","klimaschutz","uebernahme","amerikaner","zukunft","eigenkapital","kommission","stadt","bank","fussball","euro","arbeitsmarkt","ministerpraesident"
"18","neue","russischen","opec","analysten","chinesische","tun","risiken","muesse","spaeter","fed","gaeste","europaeischen","rezession","wahl"
"19","mittelstaendler","moskau","kraftwerke","rund","staaten","frage","vermoegen","regelung","buch","minus","verein","notenbanken","prognose","wahlkampf"
"20","software","may","preis","konzerns","praesidenten","politischen","markt","kommunen","jahre","papiere","mannschaft","europaeische","erwartet","sozialdemokraten"
"21","anbieter","pfund","produktion","geschaeftsjahr","trumps","wissen","kredite","rente","junge","index","messen","waehrung","oekonomen","seehofer"
"22","telekom","europa","landwirtschaft","daimler","israel","fragen","immobilie","clement","tag","aktienmaerkte","kunst","usa","nachfrage","afd"
"23","arbeiten","russische","industrie","bayer","regierung","marktwirtschaft","kapital","gesetzlichen","kind","rendite","liga","schulden","erholung","bundestag"
"24","unternehmer","referendum","bauern","vw","donald","bevoelkerung","renditen","gewerkschaft","geschichte","experten","euro","waehrungsunion","weltwirtschaft","bundestagswahl"
"25","produkte","polen","foerderung","volkswagen","uspraesident","beispiel","commerzbank","fordert","jungen","woche","koeln","finanzmaerkte","bip","opposition"
"26","geschaeft","praesident","klimawandel","aktionaere","afghanistan","brauchen","sparer","duerfen","zeit","quartal","besucher","zinssenkung","firmen","berlin"
"27","gruender","landes","anlagen","verkauf","demokraten","sicherheit","mieter","betriebe","schule","maerkte","hotels","rezession","befragten","gabriel"
"28","chef","union","erneuerbare","lufthansa","amerikanischen","denken","bafin","vorschlag","sohn","leitindex","reisen","kredite","anstieg","liberalen"
