"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.5488","5.3109","4.6519","7.2404","6.2141","11.099","6.0138","7.0163","10.0721","9.4291","4.3655","7.2332","8.9872","5.8177"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wachstum","merkel"
"3","kunden","regierung","energien","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","banken","wirtschaft","partei"
"4","firmen","grossbritannien","energiewende","umsatz","peking","politik","anleger","gesetz","frauen","dollar","hamburger","geldpolitik","quartal","cdu"
"5","firma","russland","gas","milliarden","chinas","heute","kunden","spd","mann","investoren","muenchen","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","mio","obama","gibt","geld","eichel","menschen","analysten","messe","notenbank","konjunktur","koalition"
"7","manager","land","preise","millionen","iran","deutschland","euro","arbeitgeber","frau","boerse","millionen","inflation","unternehmen","gruenen"
"8","daten","britische","erneuerbaren","gewinn","krieg","freiheit","immobilien","arbeitnehmer","eltern","boersen","berlin","eurozone","deutschen","union"
"9","digitalisierung","britischen","tonnen","quartal","washington","europa","versicherer","reform","familie","kurse","bayern","griechenland","rueckgang","schroeder"
"10","mitarbeitern","briten","barrel","aktie","praesident","soziale","sparkassen","gewerkschaften","leute","anleihen","saison","fed","deutsche","csu"
"11","digitale","london","co","unternehmen","bush","globalisierung","investoren","ig","maenner","gold","trainer","iwf","aufschwung","kanzlerin"
