"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.5501","5.2914","4.7183","7.2422","6.2152","11.0441","6.0038","7.0155","10.0961","9.4352","4.3569","7.2344","8.9936","5.8033"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wachstum","merkel"
"3","kunden","regierung","gas","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","banken","wirtschaft","partei"
"4","firmen","grossbritannien","energien","umsatz","peking","politik","anleger","gesetz","mann","dollar","hamburger","geldpolitik","quartal","cdu"
"5","firma","russland","energiewende","milliarden","chinas","heute","kunden","spd","frauen","investoren","muenchen","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","mio","obama","gibt","geld","arbeitgeber","menschen","analysten","messe","notenbank","unternehmen","koalition"
"7","manager","land","erneuerbaren","millionen","iran","freiheit","euro","eichel","frau","boerse","millionen","inflation","konjunktur","gruenen"
"8","daten","britische","preise","gewinn","krieg","deutschland","immobilien","arbeitnehmer","eltern","kurse","bayern","eurozone","deutschen","union"
"9","digitalisierung","britischen","co","quartal","washington","europa","versicherer","reform","familie","boersen","berlin","griechenland","rueckgang","schroeder"
"10","mitarbeitern","briten","tonnen","aktie","praesident","soziale","sparkassen","gewerkschaften","leute","anleihen","fc","fed","deutsche","csu"
"11","digitale","london","barrel","unternehmen","bush","globalisierung","zinsen","ig","maenner","gold","saison","iwf","aufschwung","kanzlerin"
"12","google","parlament","eon","mill","chinesischen","demokratie","investoren","berlin","vater","punkten","trainer","staatsanleihen","entwicklung","angela"
"13","digitalen","premier","pro","jahr","russland","sozialen","wohnungen","beschaeftigten","paar","aktie","spieler","draghi","investitionen","stoiber"
"14","startups","tuerkei","verbraucher","geschaeft","irak","leben","rendite","metall","heute","aktienmarkt","berliner","euroraum","industrie","kanzler"
"15","branche","europaeischen","kohle","siemens","land","staat","aktien","unternehmen","erzaehlt","punkte","hochschulen","dollar","konsum","parteien"
"16","fuehrungskraefte","frankreich","klimaschutz","vorstandschef","amerika","buerger","eigenkapital","arbeit","mutter","usa","studium","italien","deutlich","waehler"
"17","neue","putin","rwe","analysten","amerikaner","tun","altersvorsorge","kommission","stadt","bank","fussball","euro","arbeitsmarkt","ministerpraesident"
"18","unternehmens","moskau","kraftwerke","uebernahme","chinesische","zukunft","vermoegen","muesse","spaeter","fed","gaeste","europaeischen","prognose","wahl"
"19","mittelstaendler","russischen","opec","rund","staaten","frage","markt","regelung","buch","minus","verein","notenbanken","rezession","wahlkampf"
"20","software","may","preis","konzerns","praesidenten","politischen","risiken","kommunen","jahre","papiere","messen","europaeische","erwartet","sozialdemokraten"
"21","anbieter","pfund","produktion","geschaeftsjahr","trumps","wissen","kredite","rente","junge","index","mannschaft","waehrung","oekonomen","afd"
