"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.6359","5.203","4.9242","7.176","6.3311","10.8932","5.9371","7.0206","10.0368","9.3551","4.4296","7.0819","9.0892","5.8863"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","usa","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","brexit","energien","milliarden","trump","gesellschaft","fonds","gesetz","kinder","dax","studenten","banken","wachstum","merkel"
"4","firmen","grossbritannien","oel","umsatz","peking","politik","anleger","euro","mann","dollar","muenchen","inflation","quartal","cdu"
"5","firma","russland","energiewende","mrd","chinas","heute","kunden","arbeitgeber","frauen","investoren","millionen","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","millionen","russland","gibt","euro","spd","menschen","analysten","hamburger","geldpolitik","unternehmen","gruenen"
"7","manager","britische","erneuerbaren","mio","krieg","freiheit","immobilien","arbeitnehmer","frau","kurse","messe","notenbank","konjunktur","koalition"
"8","daten","britischen","co","gewinn","chinesischen","deutschland","geld","reform","familie","boerse","bayern","eurozone","deutschen","union"
"9","digitalisierung","land","preise","quartal","iran","soziale","versicherer","eichel","eltern","boersen","fc","fed","rueckgang","csu"
"10","digitale","briten","tonnen","unternehmen","obama","europa","sparkassen","gewerkschaften","leute","anleihen","berlin","griechenland","deutsche","schroeder"
"11","mitarbeitern","london","industrie","aktie","praesident","demokratie","wohnungen","ig","maenner","gold","saison","iwf","entwicklung","kanzlerin"
"12","startups","parlament","wasserstoff","geschaeft","washington","globalisierung","zinsen","beschaeftigten","paar","punkten","trainer","staatsanleihen","aufschwung","angela"
"13","google","premier","klimaschutz","jahr","land","leben","investoren","metall","vater","aktie","spieler","euroraum","industrie","kanzler"
"14","digitalen","europaeischen","barrel","siemens","bush","sozialen","rendite","berlin","heute","usa","berliner","draghi","konsum","afd"
"15","ki","frankreich","eon","mill","chinesische","zukunft","aktien","unternehmen","erzaehlt","bank","fussball","italien","deutlich","scholz"
"16","fuehrungskraefte","tuerkei","pro","vorstandschef","irak","tun","immobilie","arbeit","stadt","aktienmarkt","hochschulen","notenbanken","investitionen","parteien"
"17","branche","putin","kohle","rund","amerika","buerger","eigenkapital","kommunen","mutter","punkte","gaeste","dollar","arbeitsmarkt","waehler"
"18","software","pfund","verbraucher","analysten","amerikaner","staat","kredite","regelung","spaeter","fed","studium","europaeischen","rezession","stoiber"
"19","neue","moskau","preis","uebernahme","ukraine","frage","markt","muesse","jahre","minus","mannschaft","euro","erwartet","wahl"
"20","intelligenz","may","produktion","geschaeftsjahr","staaten","politischen","vermoegen","kommission","junge","papiere","verein","europaeische","prognose","ministerpraesident"
"21","arbeiten","russischen","rwe","konzerns","putin","wissen","altersvorsorge","rente","buch","rendite","sport","schulden","nachfrage","sozialdemokraten"
"22","unternehmens","europa","kraftwerke","daimler","praesidenten","bevoelkerung","commerzbank","gewerkschaft","tag","index","messen","usa","oekonomen","wahlkampf"
"23","mittelstaendler","polen","erdgas","bayer","xi","fragen","mieter","fordert","jungen","aktienmaerkte","kunst","waehrung","weltwirtschaft","bundestag"
"24","gruender","russische","erneuerbare","vw","trumps","marktwirtschaft","mieten","gesetzlichen","kind","zinsen","reisen","rezession","erholung","seehofer"
"25","beispiel","referendum","opec","volkswagen","regierung","brauchen","risiken","bahn","schule","experten","besucher","waehrungsunion","firmen","berlin"
"26","produkte","johnson","anlagen","verkauf","donald","verantwortung","kapital","clement","sohn","quartal","liga","finanzmaerkte","befragten","bundestagswahl"
"27","anbieter","landes","foerderung","aktionaere","uspraesident","beispiel","kaeufer","betriebe","geschichte","renditen","hotels","oekonomen","bip","opposition"
"28","unternehmer","praesident","landwirtschaft","lufthansa","biden","denken","bafin","duerfen","zeit","maerkte","euro","krise","anstieg","liberalen"
"29","geschaeft","koenigreich","ausbau","ersten","israel","sicherheit","renditen","regelungen","kindern","leitindex","touristen","kredite","kommenden","gruene"
"30","telekom","premierminister","deutschland","bmw","westen","gerade","sparer","vorschlag","macht","woche","koeln","zinssenkung","rechnet","lindner"
"31","amazon","austritt","klimawandel","dollar","sanktionen","politische","institute","entwurf","alt","morgan","fans","leitzins","verbraucher","linken"
"32","berater","union","kosten","konzernchef","welt","herr","frankfurt","verfahren","hause","gewinne","bundesliga","maerkte","plus","soeder"
"33","markt","italien","bauern","sap","demokraten","wissenschaft","private","urteil","uhr","plus","hotel","leitzinsen","vorjahr","regierung"
"34","chef","berlusconi","liter","ergebnis","republikaner","zeit","wirecard","sprecher","job","wall","klubs","anleihen","rechnen","amt"
