"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.6623","5.182","4.9427","7.1793","6.3821","10.9024","5.9138","7.0287","10.0295","9.3383","4.4193","7.0483","9.0969","5.8745"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","usa","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","brexit","energien","milliarden","trump","gesellschaft","fonds","gesetz","kinder","dax","studenten","banken","wachstum","merkel"
"4","firmen","grossbritannien","oel","umsatz","chinas","politik","anleger","euro","frauen","dollar","muenchen","inflation","quartal","cdu"
"5","firma","russland","energiewende","mrd","peking","heute","kunden","arbeitgeber","mann","investoren","millionen","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","millionen","russland","gibt","euro","spd","menschen","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","manager","britische","erneuerbaren","mio","krieg","freiheit","immobilien","arbeitnehmer","frau","kurse","hamburger","notenbank","konjunktur","koalition"
"8","daten","britischen","co","gewinn","chinesischen","deutschland","geld","reform","eltern","boerse","bayern","eurozone","deutschen","union"
"9","digitalisierung","land","preise","quartal","iran","soziale","sparkassen","eichel","familie","boersen","trainer","fed","rueckgang","csu"
"10","digitale","briten","wasserstoff","unternehmen","obama","europa","versicherer","gewerkschaften","leute","anleihen","fc","griechenland","deutsche","schroeder"
"11","mitarbeitern","london","tonnen","aktie","praesident","demokratie","wohnungen","ig","maenner","gold","berlin","iwf","entwicklung","kanzlerin"
"12","startups","parlament","industrie","geschaeft","washington","leben","zinsen","beschaeftigten","paar","punkten","saison","staatsanleihen","aufschwung","angela"
"13","google","premier","klimaschutz","jahr","land","globalisierung","investoren","metall","vater","aktie","spieler","euroraum","deutlich","kanzler"
"14","ki","europaeischen","pro","siemens","chinesische","sozialen","immobilie","berlin","heute","usa","fussball","draghi","industrie","afd"
"15","digitalen","frankreich","kohle","mill","bush","zukunft","rendite","unternehmen","erzaehlt","bank","berliner","italien","konsum","scholz"
"16","fuehrungskraefte","tuerkei","eon","vorstandschef","irak","tun","aktien","arbeit","stadt","aktienmarkt","hochschulen","notenbanken","investitionen","parteien"
"17","branche","putin","barrel","rund","amerika","buerger","eigenkapital","kommunen","mutter","punkte","gaeste","dollar","arbeitsmarkt","waehler"
"18","intelligenz","pfund","verbraucher","analysten","ukraine","staat","kredite","muesse","spaeter","fed","studium","europaeischen","prognose","stoiber"
"19","software","moskau","preis","uebernahme","amerikaner","frage","markt","regelung","jahre","minus","mannschaft","euro","rezession","wahl"
"20","arbeiten","may","produktion","geschaeftsjahr","putin","politischen","vermoegen","kommission","junge","rendite","sport","europaeische","erwartet","ministerpraesident"
"21","neue","russischen","rwe","konzerns","staaten","wissen","altersvorsorge","rente","buch","papiere","verein","schulden","nachfrage","sozialdemokraten"
"22","unternehmens","europa","kraftwerke","bayer","praesidenten","bevoelkerung","mieter","gewerkschaft","tag","index","kunst","usa","oekonomen","wahlkampf"
"23","mittelstaendler","polen","erdgas","vw","xi","fragen","commerzbank","fordert","kind","zinsen","messen","waehrung","weltwirtschaft","bundestag"
"24","gruender","referendum","erneuerbare","daimler","trumps","brauchen","mieten","gesetzlichen","jungen","aktienmaerkte","reisen","rezession","erholung","seehofer"
"25","beispiel","russische","opec","volkswagen","regierung","marktwirtschaft","kaeufer","bahn","schule","experten","besucher","waehrungsunion","firmen","berlin"
"26","produkte","johnson","foerderung","verkauf","biden","verantwortung","risiken","clement","sohn","renditen","liga","finanzmaerkte","befragten","bundestagswahl"
"27","anbieter","landes","anlagen","aktionaere","donald","beispiel","kapital","duerfen","zeit","quartal","hotels","oekonomen","bip","opposition"
"28","unternehmer","praesident","landwirtschaft","ersten","uspraesident","denken","bafin","regelungen","geschichte","maerkte","fans","krise","anstieg","lindner"
"29","berater","koenigreich","ausbau","lufthansa","westen","sicherheit","renditen","betriebe","kindern","leitindex","touristen","kredite","kommenden","gruene"
"30","geschaeft","premierminister","deutschland","bmw","israel","herr","institute","vorschlag","alt","woche","euro","zinssenkung","rechnet","liberalen"
"31","amazon","austritt","kosten","dollar","sanktionen","gerade","sparer","entwurf","macht","gewinne","koeln","leitzins","verbraucher","linken"
"32","markt","union","klimawandel","sap","welt","politische","frankfurt","verfahren","hause","morgan","bundesliga","leitzinsen","plus","regierung"
"33","telekom","italien","bauern","konzernchef","demokraten","zeit","private","sprecher","uhr","plus","hotel","maerkte","vorjahr","soeder"
"34","chef","berlusconi","liter","ergebnis","republikaner","wissenschaft","wirecard","massnahmen","job","wall","klubs","wirtschaft","rechnen","amt"
"35","deutschland","sarkozy","emissionen","hersteller","afghanistan","wohlstand","risiko","urteil","sitzt","usnotenbank","mark","wachstum","prognosen","merz"
"36","familienunternehmen","ukraine","wasser","operative","amerikanischen","recht","anleihen","handelsblatt","arbeit","markt","veranstalter","anleihen","zahl","gabriel"
"37","facebook","cameron","cent","kunden","new","macht","branche","gesetzentwurf","bisschen","street","wm","staaten","gestiegen","bayern"
"38","technologie","europaeische","nachfrage","konkurrenten","chinesen","bildung","finanzkrise","betroffenen","alten","anlegern","lesen","waehrungsfonds","monaten","merkels"
"39","mittelstand","ungarn","jahr","branche","russischen","geht","immobilienfonds","kosten","gibt","dow","tourismus","europa","umfrage","politik"
"40","management","kommission","wind","thyssenkrupp","soldaten","buch","deutschen","bundes","stunden","freitag","geschaeftsfuehrer","regierung","erwarten","linke"
"41","nutzer","insel","gruene","basf","nato","glaube","banker","bundestag","liebe","staatsanleihen","universitaeten","finanzmaerkten","china","mehrheit"
"42","geschaeftsfuehrer","grossbritanniens","bundesregierung","vorjahr","dollar","system","versicherungen","regierung","konnte","fondsmanager","klub","japan","stark","gerhard"
"43","informationen","argentinien","grad","operativen","russische","verstehen","investieren","laender","kirche","boersianer","hannover","geld","vergleich","umfragen"
"44","microsoft","frankreichs","energieversorgung","boersengang","volksrepublik","richtig","vermieter","koalition","haus","aktienkurse","spiele","finanzminister","duerfte","bundeskanzler"
"45","nutzen","russlands","bau","vergangenen","hongkong","angst","eigentuemer","regeln","frueher","aktienmaerkten","hochschule","yen","bruttoinlandsprodukt","ministerpraesidenten"
"46","innovationen","verhandlungen","branche","autos","indien","gesellschaftlichen","allianz","deutschland","film","fiel","universitaet","notenbanker","zweiten","westerwelle"
"47","technik","paris","umwelt","boerse","region","politiker","darlehen","gericht","alte","vergangenen","veranstaltungen","bank","minus","stimmen"
"48","computer","politische","netz","zahlen","amerikanische","braucht","immobilienmarkt","forderung","beruf","haendler","aussteller","konjunktur","exporte","kanzleramt"
"49","gibt","eustaaten","oelpreis","aufsichtsrat","york","entscheidungen","kredit","heisst","lebt","aktienindex","kuenstler","risiken","lage","habeck"
"50","technologien","abkommen","hersteller","unternehmens","amerikas","arbeit","anbieter","geplante","mensch","titel","quadratmeter","inflationsrate","stimmung","kohl"
"51","apple","eukommission","winter","vorstand","landes","generation","kfw","union","gut","erwartet","flughafen","weltwirtschaft","vergangenen","bundeskanzlerin"
"52","kuenstliche","konservativen","gruenen","porsche","moskau","vertrauen","investment","rentenversicherung","geht","notierte","  ","trichet","halbjahr","minister"
"53","berger","franzosen","habeck","halbjahr","george","autor","hedgefonds","forderte","kopf","commerzbank","dortmund","spanien","ersten","macron"
"54","startup","praesidenten","rohstoffe","ag","taiwan","geschichte","preise","gesetzliche","ging","analyst","hoeness","lagarde","wirtschaftsforschung","muentefering"
"55","beispielsweise","mehrheit","dollar","hauptversammlung","europaeer","rolle","quadratmeter","gesetzgeber","gefuehl","mdax","senat","finanzkrise","arbeitslosigkeit","laschet"
"56","gerade","erdogan","gold","dividende","armee","gefuehl","wohnung","mindestlohn","angst","verlor","league","regierungen","wirtschaftsleistung","fraktion"
"57","business","franzoesischen","investitionen","verlust","vereinigten","darf","kaufen","oeffentlichen","gerne","goldman","urlauber","bernanke","wirtschaftswachstum","politischen"
"58","partner","brasilien","tonne","fusion","europa","grenzen","investiert","milliarden","strasse","jones","hansestadt","zinssenkungen","preise","schaeuble"
"59","werbung","regierungschef","bp","mitarbeiter","syrien","kapitalismus","finanzaufsicht","bundesfinanzminister","kunst","euro","tui","zentralbanken","branchen","gewaehlt"
"60","beratung","premierministerin","rund","markt","beziehungen","aufgabe","investmentbanking","vorschlaege","fragt","notenbanken","spielen","greenspan","steigen","sonntag"
"61","netz","theresa","mengen","bank","militaerische","jahrhundert","ertraege","patienten","lang","deutlich","bachelor","usnotenbank","institut","parteitag"
"62","sap","politischen","versorger","autobauer","westlichen","lernen","jahren","erhalten","essen","kurs","team","chefvolkswirt","niveau","olaf"
