"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.5668","5.3291","4.5743","7.2472","6.1222","11.185","6.0452","7.0421","10.1263","9.4074","4.3859","7.2282","8.9243","5.8161"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wachstum","merkel"
"3","kunden","regierung","energien","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","banken","wirtschaft","partei"
"4","firmen","grossbritannien","energiewende","umsatz","peking","politik","anleger","gesetz","frauen","dollar","hamburger","geldpolitik","quartal","cdu"
"5","firma","russland","gas","milliarden","chinas","heute","kunden","spd","mann","investoren","muenchen","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","mio","obama","gibt","geld","eichel","menschen","analysten","messe","notenbank","konjunktur","koalition"
"7","manager","land","preise","millionen","iran","deutschland","euro","arbeitnehmer","frau","boerse","millionen","eurozone","unternehmen","gruenen"
"8","daten","britische","erneuerbaren","gewinn","krieg","freiheit","immobilien","arbeitgeber","eltern","boersen","berlin","inflation","deutschen","union"
"9","digitalisierung","britischen","barrel","quartal","washington","europa","versicherer","reform","familie","kurse","bayern","griechenland","rueckgang","schroeder"
"10","mitarbeitern","briten","eon","aktie","bush","soziale","sparkassen","gewerkschaften","leute","anleihen","saison","fed","deutsche","csu"
"11","digitale","london","tonnen","mill","praesident","globalisierung","investoren","ig","maenner","gold","trainer","iwf","aufschwung","kanzlerin"
"12","google","parlament","co","unternehmen","irak","demokratie","zinsen","berlin","vater","punkten","spieler","staatsanleihen","entwicklung","angela"
"13","digitalen","tuerkei","pro","jahr","chinesischen","sozialen","rendite","beschaeftigten","paar","aktienmarkt","fc","draghi","investitionen","stoiber"
"14","branche","premier","verbraucher","geschaeft","amerika","leben","aktien","metall","heute","punkte","berliner","dollar","industrie","parteien"
"15","startups","europaeischen","opec","siemens","land","staat","wohnungen","unternehmen","erzaehlt","aktie","hochschulen","euroraum","konsum","kanzler"
"16","fuehrungskraefte","putin","rwe","vorstandschef","amerikaner","buerger","altersvorsorge","arbeit","mutter","usa","studium","italien","deutlich","waehler"
"17","neue","russischen","klimaschutz","uebernahme","chinesische","tun","eigenkapital","kommission","stadt","bank","fussball","euro","arbeitsmarkt","ministerpraesident"
"18","unternehmens","frankreich","kraftwerke","analysten","russland","zukunft","risiken","muesse","spaeter","fed","gaeste","europaeischen","rezession","sozialdemokraten"
"19","mittelstaendler","moskau","kohle","rund","staaten","frage","vermoegen","regelung","buch","minus","verein","notenbanken","erwartet","wahl"
"20","anbieter","may","preis","konzerns","praesidenten","politischen","markt","kommunen","jahre","papiere","mannschaft","europaeische","prognose","seehofer"
