"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.6529","5.1844","4.9797","7.1386","6.4699","10.9385","5.8482","7.0192","9.9711","9.3073","4.4215","6.9648","9.1378","5.9664"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","grossbritannien","energien","milliarden","usa","gesellschaft","fonds","gesetz","kinder","dax","studenten","inflation","wachstum","merkel"
"4","firmen","brexit","oel","umsatz","chinas","politik","anleger","euro","frauen","dollar","muenchen","banken","quartal","cdu"
"5","firma","bruessel","energiewende","mrd","peking","gibt","kunden","arbeitgeber","mann","investoren","millionen","zinsen","deutschland","fdp"
"6","internet","russland","energie","millionen","russland","heute","euro","spd","menschen","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","manager","britische","erneuerbaren","gewinn","krieg","deutschland","immobilien","reform","frau","kurse","hamburger","notenbank","konjunktur","koalition"
"8","daten","britischen","co","mio","chinesischen","freiheit","geld","arbeitnehmer","eltern","boerse","bayern","eurozone","deutschen","union"
"9","digitalisierung","land","wasserstoff","quartal","iran","demokratie","wohnungen","eichel","familie","boersen","fc","fed","rueckgang","csu"
"10","ki","briten","preise","unternehmen","praesident","soziale","sparkassen","gewerkschaften","leute","anleihen","trainer","griechenland","deutsche","schroeder"
"11","digitale","frankreich","industrie","aktie","washington","europa","versicherer","ig","maenner","gold","saison","iwf","entwicklung","scholz"
"12","startups","parlament","tonnen","geschaeft","obama","leben","zinsen","beschaeftigten","paar","aktie","berlin","staatsanleihen","industrie","kanzler"
"13","mitarbeitern","london","klimaschutz","jahr","chinesische","sozialen","investoren","metall","vater","punkten","spieler","euroraum","konsum","afd"
"14","google","premier","pro","siemens","land","globalisierung","immobilie","unternehmen","heute","usa","fussball","italien","aufschwung","kanzlerin"
"15","digitalen","europaeischen","kohle","mill","ukraine","tun","rendite","berlin","erzaehlt","bank","berliner","draghi","investitionen","angela"
"16","intelligenz","tuerkei","produktion","vorstandschef","bush","zukunft","markt","arbeit","stadt","aktienmarkt","hochschulen","notenbanken","deutlich","parteien"
"17","fuehrungskraefte","putin","eon","rund","irak","buerger","kredite","kommunen","mutter","fed","gaeste","europaeischen","arbeitsmarkt","waehler"
"18","branche","pfund","preis","analysten","amerika","staat","eigenkapital","regelung","spaeter","punkte","studium","dollar","prognose","wahl"
"19","software","moskau","verbraucher","uebernahme","putin","frage","aktien","muesse","jahre","minus","sport","europaeische","erwartet","stoiber"
"20","arbeiten","may","barrel","geschaeftsjahr","amerikaner","politischen","vermoegen","rente","junge","rendite","mannschaft","schulden","rezession","ministerpraesident"
"21","neue","russischen","rwe","konzerns","trumps","fragen","commerzbank","kommission","tag","papiere","verein","euro","nachfrage","sozialdemokraten"
"22","beispiel","europa","kraftwerke","vw","staaten","bevoelkerung","altersvorsorge","gewerkschaft","buch","zinsen","kunst","usa","oekonomen","wahlkampf"
"23","produkte","polen","erdgas","volkswagen","xi","wissen","mieten","bahn","kind","index","messen","rezession","erholung","bundestag"
"24","mittelstaendler","russische","erneuerbare","bayer","praesidenten","brauchen","kaeufer","fordert","jungen","aktienmaerkte","fans","finanzmaerkte","weltwirtschaft","merz"
"25","unternehmens","referendum","foerderung","daimler","biden","verantwortung","mieter","gesetzlichen","schule","renditen","reisen","waehrung","firmen","seehofer"
"26","gruender","johnson","anlagen","verkauf","donald","beispiel","risiken","vorschlag","sohn","experten","besucher","waehrungsunion","befragten","lindner"
"27","anbieter","praesident","deutschland","aktionaere","regierung","denken","kapital","duerfen","kindern","leitindex","liga","oekonomen","anstieg","bundestagswahl"
"28","unternehmer","premierminister","ausbau","bmw","westen","marktwirtschaft","bafin","regelungen","zeit","quartal","hotels","zinssenkung","bip","berlin"
"29","berater","landes","opec","ersten","uspraesident","herr","institute","entwurf","geschichte","maerkte","lesen","leitzinsen","kommenden","gruene"
"30","markt","koenigreich","landwirtschaft","lufthansa","israel","gerade","renditen","clement","alt","gewinne","touristen","leitzins","rechnet","opposition"
"31","amazon","italien","kosten","dollar","welt","sicherheit","frankfurt","betriebe","hause","woche","koeln","kredite","verbraucher","liberalen"
"32","geschaeft","austritt","klimawandel","hersteller","sanktionen","zeit","sparer","massnahmen","macht","morgan","euro","krise","plus","regierung"
"33","technologie","union","bauern","sap","demokraten","politische","private","verfahren","uhr","plus","hotel","maerkte","vorjahr","linken"
"34","deutschland","kommission","liter","konzernchef","republikaner","wohlstand","wirecard","sprecher","job","wall","bundesliga","wirtschaft","rechnen","soeder"
"35","chef","berlusconi","emissionen","operative","nato","recht","anleihen","handelsblatt","sitzt","usnotenbank","klubs","wachstum","zahl","amt"
"36","telekom","sarkozy","wind","basf","amerikanischen","macht","risiko","betroffenen","arbeit","markt","veranstalter","anleihen","gestiegen","bundeskanzler"
"37","familienunternehmen","europaeische","gruene","ergebnis","russischen","wissenschaft","branche","gesetzentwurf","bisschen","street","mark","staaten","prognosen","habeck"
"38","facebook","ungarn","cent","kunden","afghanistan","geht","finanzkrise","urteil","alten","anlegern","wm","waehrungsfonds","monaten","bayern"
"39","management","frankreichs","nachfrage","thyssenkrupp","soldaten","buch","immobilienfonds","kosten","gibt","dow","spiele","europa","umfrage","mehrheit"
"40","nutzer","ukraine","wasser","konkurrenten","chinesen","bildung","banker","bundes","stunden","freitag","kuenstler","finanzmaerkten","erwarten","politik"
"41","mittelstand","paris","bundesregierung","branche","russische","glaube","versicherungen","bundestag","liebe","staatsanleihen","tourismus","regierung","vergleich","linke"
"42","microsoft","cameron","habeck","vorjahr","new","verstehen","deutschen","laender","konnte","fondsmanager","geschaeftsfuehrer","japan","minus","merkels"
"43","innovationen","grossbritanniens","jahr","boersengang","volksrepublik","richtig","vermieter","regierung","haus","aktienkurse","klub","notenbanker","duerfte","gabriel"
"44","geschaeftsfuehrer","insel","bau","autos","dollar","angst","investieren","heisst","kirche","boersianer","universitaeten","yen","stark","umfragen"
"45","informationen","argentinien","energieversorgung","operativen","taiwan","system","eigentuemer","regeln","alte","aktienmaerkten","hannover","finanzminister","bruttoinlandsprodukt","gerhard"
"46","nutzen","russlands","grad","vergangenen","indien","braucht","immobilienmarkt","deutschland","frueher","vergangenen","veranstaltungen","bank","zweiten","ministerpraesidenten"
"47","technik","verhandlungen","branche","vorstand","region","gesellschaftlichen","preise","koalition","lebt","fiel","universitaet","geld","china","westerwelle"
"48","apple","politische","gruenen","boerse","hongkong","politiker","darlehen","geplante","film","aktienindex","hochschule","risiken","lage","stimmen"
"49","kuenstliche","abkommen","umwelt","aufsichtsrat","moskau","entscheidungen","quadratmeter","gericht","beruf","haendler","flughafen","konjunktur","exporte","kanzleramt"
"50","technologien","eustaaten","netz","zahlen","amerikanische","vertrauen","kfw","forderung","kopf","titel","aussteller","inflationsrate","stimmung","olaf"
"51","startup","franzoesischen","hersteller","porsche","landes","geschichte","kredit","gesetzliche","mensch","erwartet","quadratmeter","weltwirtschaft","vergangenen","kohl"
"52","gibt","eukommission","oelpreis","unternehmens","york","arbeit","anbieter","union","gut","notierte","  ","trichet","ersten","minister"
"53","computer","konservativen","investitionen","halbjahr","amerikas","generation","allianz","rentenversicherung","geht","analyst","dortmund","zinssenkungen","halbjahr","bundeskanzlerin"
"54","berger","mehrheit","rohstoffe","ag","europa","autor","wohnung","milliarden","fragt","commerzbank","league","lagarde","wirtschaftsforschung","macron"
"55","gerade","franzosen","winter","dividende","george","gefuehl","investment","forderte","angst","verlor","hoeness","finanzkrise","arbeitslosigkeit","ampel"
"56","beispielsweise","praesidenten","stahl","hauptversammlung","armee","rolle","hedgefonds","gesetzgeber","ging","mdax","senat","spanien","wirtschaftsleistung","muentefering"
"57","partner","franzoesische","mengen","markt","europaeer","aufgabe","kaufen","oeffentlichen","gefuehl","goldman","urlauber","zentralbanken","preise","fraktion"
"58","business","brasilien","tonne","autobauer","beziehungen","grenzen","jahren","mindestlohn","strasse","jones","team","regierungen","wirtschaftswachstum","politischen"
"59","beratung","erdogan","dollar","verlust","vereinigten","darf","institut","erhalten","gerne","kurs","spielen","bernanke","branchen","gewaehlt"
"60","sap","regierungschef","gold","fusion","jinping","kapitalismus","finanzaufsicht","umsetzung","lang","deutlich","hansestadt","usnotenbank","steigen","laschet"
"61","werbung","le","rund","mitarbeiter","militaerische","lernen","investiert","vorschlaege","kunst","notenbanken","tui","chefvolkswirt","institut","schaeuble"
"62","cloud","premierministerin","bp","bank","westlichen","falsch","ertraege","patienten","essen","rund","bachelor","waehrungshueter","niveau","bundesregierung"
"63","job","spanien","versorger","aktienkurs","syrien","begriff","geldhaeuser","bundesfinanzminister","erinnert","unternehmen","muenchner","greenspan","rund","sonntag"
"64","neuen","theresa","markt","air","barack","ueberhaupt","investmentbanking","arbeitsplaetze","wissen","maerkten","bremen","bundesbank","trotz","parteitag"
"65","netz","politischen","kohlendioxid","sparte","gewalt","laesst","geschaeft","geplanten","geboren","erholung","gmbh","preisstabilitaet","gesunken","parteichef"
"66","maschinen","sozialisten","landwirte","airbus","westliche","gesellschaftliche","privaten","einfuehrung","bilder","euro","zwei","duisenberg","insgesamt","buendnis"
"67","industrie","boris","nord","knapp","weissen","debatte","transaktionen","darf","gesagt","jp","swift","griechischen","jahres","steinbrueck"
"68","arbeitgeber","hollande","klima","gesamtjahr","fuehrung","jahrhundert","bieten","kritik","all","wert","vereine","milliarden","volkswirtschaft","koalitionspartner"
"69","thema","europas","atomkraftwerke","management","militaerischen","veraenderungen","miete","kritisierte","tod","zaehler","absolventen","ezbrat","aussichten","landtagswahl"
"70","unternehmensberatung","regierungschefs","waermepumpen","tochter","arabischen","handeln","makler","kassen","glueck","goldpreis","sommer","griechenlands","punkte","wirtschaftsminister"
"71","online","macron","fossilen","kaeser","militaer","ordnung","finanzierung","beschlossen","kennt","bundesanleihen","stuttgart","griechische","eurozone","landtag"
"72","produkt","de","megawatt","opel","nordkorea","schaffen","haeuser","bundesrat","karriere","donnerstag","rund","geldpolitischen","folge","abgeordneten"
"73","bereich","tories","benzin","uebernahmen","clinton","oekonomischen","beispielsweise","vorgaben","namen","stieg","master","federal","steigende","schulz"
"74","innovation","chirac","jahren","weltweit","politische","kultur","wert","gutachten","maedchen","konjunkturdaten","frankfurt","ezbpraesident","konjunkturelle","linkspartei"
"75","studie","wahlen","kernenergie","stieg","russlands","institutionen","kauf","ministerium","zwei","verluste","hsv","senken","haushalte","finanzminister"
"76","digital","londoner","autos","mercedes","partei","integration","privatanleger","koenne","arbeiten","stimmung","platz","athen","wirtschaftliche","horst"
"77","silicon","partei","erdoel","fahrzeuge","regime","interessen","milliarden","rechtsunsicherheit","geld","fonds","schueler","zinserhoehung","einbruch","wahlen"
"78","konzerne","wladimir","produzieren","analyst","frieden","dinge","wertpapiere","kritisiert","draussen","erwarten","schalke","laender","wachsen","buerger"
"79","kollegen","beitritt","erneuerbarer","abschreibungen","nahen","weise","verkauf","bdi","reden","dienstag","stadion","deflation","produktion","steinmeier"
"80","haeufig","bruesseler","millionen","marken","kongress","glauben","lebensversicherung","millionen","musik","bonds","urlaub","portugal","laut","kandidaten"
"81","wettbewerb","tuerkische","energietraeger","verkauft","internationale","wissenschaftler","kosten","eukommission","roman","verloren","nuernberg","mario","zahlen","politiker"
"82","kommunikation","neuwahlen","erde","finanzvorstand","terror","herausforderungen","wohnen","wirtschaftsminister","generation","gestiegen","olympischen","liquiditaet","studie","regieren"
"83","heute","mitgliedstaaten","energiepolitik","manager","konflikt","probleme","ackermann","fordern","irgendwann","duerften","drei","euros","einzelhandel","themen"
"84","deutschen","england","atomkraft","produktion","truppen","jahrhunderts","geldanlage","haushalt","erzaehlen","duerfte","polizei","notenbankchef","konsumenten","politische"
"85","deutsche","aussenminister","stromerzeugung","autoindustrie","li","politisch","anlegern","behoerde","los","marke","kultur","eurolaender","staerker","rede"
"86","ag","italiens","kohlekraftwerke","marke","politischen","problem","kapitalmarkt","arbeitsmarkt","kleine","vermoegensverwalter","uni","reformen","usa","debatte"
"87","geschaeftsmodelle","iwf","fleisch","gm","osten","fuehrt","muenchen","minister","gemacht","rezession","meter","massnahmen","leicht","kabinett"
"88","kunde","binnenmarkt","kilometer","finanzchef","w","mag","investments","forderungen","gesicht","new","bau","unsicherheit","krise","edmund"
"89","siemens","wirtschaft","stream","wettbewerber","usregierung","forschung","krediten","finanzminister","freunde","zehnjaehrigen","galerie","uswirtschaft","erwartungen","helmut"
"90","gut","tuerkischen","betrieb","kosten","verbuendeten","finden","laufzeit","cdu","schueler","unsicherheit","veranstaltung","reserve","experten","berliner"
"91","fragen","madrid","eeg","insgesamt","taliban","oekonomische","einlagen","staat","maennern","indizes","sponsoren","eurostaaten","instituts","konservativen"
"92","valley","opposition","gigawatt","milliarde","wladimir","wandel","konditionen","fall","schoen","oelpreis","spiel","staatsverschuldung","zuwachs","muesse"
"93","chefs","juncker","strompreise","erwartet","japan","gerechtigkeit","deutsche","mrd","wort","sachs","galerien","irland","steigenden","christian"
"94","stellen","nordirland","tiere","gut","waffen","fortschritt","regel","beitraege","jahren","mittwoch","borussia","erholung","einschaetzung","friedrich"
"95","team","kontinent","teurer","audi","terroristen","art","landesbanken","zusaetzliche","buero","uswirtschaft","leipzig","verschuldung","sank","parlament"
"96","it","russen","versorgungssicherheit","absatz","mexiko","medien","zehn","hartz","augen","knapp","wohnungen","gefahr","export","baerbock"
"97","mittelstaendische","reformen","fossile","muenchener","suedkorea","ungleichheit","ikb","foerderung","stolz","stand","duesseldorf","anleihekaeufe","lag","buergermeister"
"98","buero","konservative","erwaermung","steuern","krieges","fehler","haus","aerzte","wusste","strategen","champions","weidmann","ausgaben","rotgruen"
"99","entwickeln","deal","subventionen","nettogewinn","putins","sinne","grossbanken","vorhaben","gern","markets","a","griechen","vormonat","landtagswahlen"
"100","media","stimmen","teuer","laufenden","teheran","bundesrepublik","portfolio","steuer","art","steigende","thomas","finanzsystem","volkswirte","kritik"
"101","arbeitet","parteien","lebensmittel","teilte","kim","antwort","produkte","vorliegt","lehrer","stark","semester","schaeuble","oecd","bundespraesident"
"102","belegschaft","korruption","betreiber","monaten","nationen","werte","jain","klage","the","geldpolitik","zuschauer","oekonom","hohen","nordrheinwestfalen"
"103","vorstand","labour","anlage","drei","demokratie","mensch","unternehmen","behoerden","alter","montag","tuerkei","geldmenge","diw","fischer"
"104","arbeit","irland","kilowattstunde","autohersteller","terrorismus","leute","bonitaet","kuendigungsschutz","familien","kursen","schulen","maerkten","dritten","wolfgang"
"105","plattform","ministerpraesident","energiewirtschaft","konzerne","joe","idee","hohe","gelten","abend","s","berlins","glaeubiger","privaten","wolle"
"106","anbieten","einigung","windkraft","gestern","angriff","all","beispiel","solle","heimat","usdollar","abgesagt","sitzung","milliarden","sachsen"
"107","branchen","monti","shell","belegschaft","russen","realitaet","aktienfonds","bundesagentur","ddr","zaehlern","angaben","wirtschaftsleistung","durchschnitt","abgeordnete"
"108","geraete","europaeer","technologien","umsatzes","wto","moderne","landesbank","koalitionsvertrag","tun","p","hauptstadt","esm","inflation","waehlen"
"109","geschaeftsmodell","auslaendische","bundesnetzagentur","aktionaeren","aussenpolitik","antworten","verkauft","rentner","kurz","steigen","adidas","vertrauen","ausland","waehlern"
"110","gute","finanzminister","diesel","marktfuehrer","saudiarabien","zeiten","gibt","hans","lesen","inflation","paris","preise","gegenueber","spdchef"
"111","investieren","slowakei","emissionshandel","ebit","asien","aengste","kreditinstitute","hoehe","sitzen","konjunktur","barcelona","japans","bruttoinlandsprodukts","fraktionschef"
