"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.6194","5.2048","4.8561","7.214","6.2711","10.9099","5.9979","6.997","10.0783","9.4156","4.3851","7.1503","9.066","5.8345"
"1","unternehmen","eu","gas","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","strom","konzern","usa","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","merkel"
"3","kunden","brexit","energien","milliarden","trump","gesellschaft","fonds","gesetz","kinder","dax","studenten","banken","wachstum","partei"
"4","firmen","grossbritannien","oel","umsatz","peking","politik","anleger","euro","frauen","dollar","muenchen","zinsen","quartal","cdu"
"5","firma","russland","energiewende","mrd","chinas","heute","kunden","arbeitgeber","mann","investoren","hamburger","geldpolitik","deutschland","fdp"
"6","internet","bruessel","energie","millionen","krieg","gibt","euro","spd","menschen","analysten","millionen","inflation","unternehmen","koalition"
"7","manager","britische","erneuerbaren","mio","russland","freiheit","geld","arbeitnehmer","frau","kurse","messe","notenbank","konjunktur","gruenen"
"8","daten","land","preise","gewinn","iran","deutschland","immobilien","eichel","eltern","boerse","bayern","eurozone","deutschen","union"
"9","digitalisierung","britischen","co","quartal","obama","europa","versicherer","reform","familie","boersen","berlin","fed","rueckgang","csu"
"10","mitarbeitern","briten","tonnen","unternehmen","chinesischen","soziale","sparkassen","gewerkschaften","leute","anleihen","fc","griechenland","deutsche","schroeder"
"11","digitale","london","barrel","aktie","washington","demokratie","wohnungen","ig","maenner","gold","saison","iwf","entwicklung","kanzlerin"
"12","google","parlament","eon","geschaeft","praesident","globalisierung","zinsen","beschaeftigten","paar","punkten","trainer","staatsanleihen","aufschwung","angela"
