"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14"
"Proportion (%)","6.5491","5.4137","4.4615","7.3388","5.9998","11.2717","6.1193","6.9644","10.1403","9.4517","4.3381","7.3119","8.8822","5.7575"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","euro","leben","anleger","stadt","banken","wachstum","merkel"
"3","kunden","regierung","energien","mrd","usa","gesellschaft","fonds","bund","kinder","dax","studenten","zentralbank","wirtschaft","partei"
"4","firmen","russland","energiewende","umsatz","peking","politik","anleger","gesetz","mann","dollar","hamburger","zinsen","quartal","cdu"
"5","firma","grossbritannien","energie","milliarden","obama","heute","kunden","eichel","frauen","analysten","muenchen","geldpolitik","deutschland","fdp"
"6","internet","bruessel","gas","mio","iran","gibt","geld","spd","menschen","investoren","millionen","notenbank","konjunktur","koalition"
"7","manager","land","preise","millionen","chinas","deutschland","immobilien","arbeitnehmer","frau","boerse","berlin","eurozone","unternehmen","gruenen"
"8","daten","britischen","barrel","gewinn","krieg","freiheit","euro","reform","eltern","boersen","messe","griechenland","deutschen","union"
"9","digitalisierung","britische","eon","quartal","bush","europa","versicherer","arbeitgeber","familie","kurse","bayern","fed","rueckgang","schroeder"
"10","mitarbeitern","briten","erneuerbaren","aktie","washington","soziale","sparkassen","gewerkschaften","leute","anleihen","berliner","iwf","deutsche","csu"
"11","digitale","london","tonnen","mill","irak","globalisierung","investoren","ig","maenner","punkten","hochschulen","inflation","aufschwung","kanzlerin"
"12","google","tuerkei","opec","unternehmen","praesident","sozialen","zinsen","berlin","heute","gold","trainer","staatsanleihen","entwicklung","angela"
"13","digitalen","parlament","verbraucher","jahr","amerika","demokratie","rendite","metall","vater","punkte","spieler","dollar","investitionen","stoiber"
"14","branche","europaeischen","pro","siemens","chinesischen","staat","aktien","kommission","paar","aktienmarkt","studium","draghi","industrie","parteien"
"15","fuehrungskraefte","putin","kraftwerke","geschaeft","land","buerger","altersvorsorge","beschaeftigten","erzaehlt","aktie","saison","euro","konsum","waehler"
"16","unternehmens","premier","rwe","vorstandschef","amerikaner","leben","risiken","arbeit","stadt","usa","fussball","euroraum","rezession","kanzler"
"17","startups","russischen","preis","uebernahme","trumps","tun","eigenkapital","muesse","mutter","bank","fc","europaeischen","arbeitsmarkt","seehofer"
