"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"18","regierung","mueller","parteien","union","wahlkampf","gruenen","pds","bundeskanzler","hessen","fdp","schill","sozialdemokraten","regierung","koehler","reformen","koalition","opposition","nordrheinwestfalen","parteien","kohl","waehler","gerhard","berlin","sozialdemokraten","kanzlerin","beck","horch","koehler","merkel","ministerpraesident","union","bundestagswahl","roland","merkels","wahlkampf","linke","linken","ministerpraesident","linken","linke","badenwuerttemberg","philipp","kuenast","mehrheit","gabriel","stoess","altmaier","mehrheit","csu","storch","parteien","heilmann","bundestagswahl","koalition","sigmar","politik","wahl","pegida","populisten","helmut","badenwuerttemberg","schaeuble","union","fluechtlingspolitik","le","gabriel","bundestag","macron","fluechtlinge","untersuchungsausschuss","ministerpraesident","merkels","berlin","gruene","dresden","parteien","union","scholz","merz","afd","fdp","waehler"
"19","kohl","bundeskanzler","ministerpraesident","opposition","liberalen","milbradt","kandidat","rotgruenen","schroeders","sozialdemokraten","regierung","steinbrueck","schartau","waehler","wahl","npd","angela","sozialdemokraten","linkspartei","csu","regierung","kohl","wahlkampf","bayern","schroeder","kanzlerin","beckstein","kurt","bayern","amt","huber","steinbrueck","ministerpraesident","pofalla","jetztde","schwarzgelb","wahl","amt","parteien","parteien","kretschmann","seehofer","bundeskanzlerin","minister","union","lindner","wolfgang","peer","berliner","bundestagswahl","wahl","berliner","opposition","sozialdemokraten","thueringen","sigmar","sozialdemokraten","parteien","nsa","adenauer","parteien","merkels","gabriel","wahlkampf","sozialdemokraten","wahl","koalition","soeder","macron","lindner","waehler","amt","gruenen","wahl","fdp","parteitag","spahn","bundeskanzlerin","umfragen","haub","habeck","armin"
"20","opposition","wahlkampf","opposition","berlin","csu","sozialdemokraten","persson","rotgruen","bundeskanzler","edmund","sozialdemokraten","gerhard","westerwelle","mehrheit","waehler","ministerpraesident","wahl","stoiber","gerhard","berlin","steinmeier","waehler","beck","reformen","ramsauer","parteien","politik","ruettgers","andrea","parteien","kanzlerin","wowereit","bundestagswahl","lager","parteien","linken","seehofer","csu","bundeskanzlerin","schaeuble","guido","weidmann","waehler","guttenberg","bundestag","waehler","weber","opposition","gabriel","peer","opposition","legislaturperiode","cdu","thueringen","regierung","linke","abgeordnete","kanzleramt","stimmen","gabriel","waehler","politik","gruene","pen","pen","koalition","linken","neuwahlen","spahn","union","kanzleramt","union","bundeskanzlerin","ministerpraesident","berlin","waehler","thueringen","afd","waehler","bayern","bundestag","ministerpraesident"
"21","gerhard","union","merkel","runde","merkel","opposition","bundeskanzler","wahl","koalition","vogel","bundestag","regierung","bundeskanzler","politik","angela","edmund","nordrheinwestfalen","berlin","gruenen","franz","wahl","ministerpraesident","juergen","delegierten","amt","linkspartei","seehofer","agenda","steinbrueck","gruenen","hajduk","bundeskanzlerin","waehler","wahl","waehler","guttenberg","buergermeister","liberalen","waehler","csu","gruene","atomausstieg","philipp","schaeuble","rede","bundeskanzlerin","bundestag","merkels","liberalen","wahlkampf","waehler","amt","patrizia","stimmen","loefven","mitglieder","fdp","csu","schroeder","merkels","soeder","fraktion","bundeskanzlerin","waehler","csu","martin","bundestagswahl","liberalen","sozialdemokraten","parteien","fluechtlinge","sozialdemokraten","sozialdemokraten","goerlitz","urban","umfragen","gruene","armin","linken","gruenen","kanzleramt","bundestag"
"22","bundeskanzler","buergermeister","ortwin","gruene","berlin","sachsenanhalt","sozialdemokraten","amt","niedersachsen","gruenen","gerhard","politik","schroeders","kanzlers","fischer","gruenen","schroeders","franz","regierung","gerhard","fdp","fischer","bundeskanzlerin","kanzlerin","ministerpraesidenten","politik","waehler","angela","wahlkampf","wahl","schlarmann","beck","gruenen","steinmeier","huebner","gruenen","landtagswahl","union","politischen","debatte","bundeskanzlerin","bruederle","mehrheit","bundestag","berlin","nordrheinwestfalen","berlin","bundestagswahl","parteien","freistaat","schroeder","sigmar","grosse","rede","spdchef","thueringen","ministerin","gruene","csu","kanzler","wulff","kanzleramt","politik","kandidatur","umfragen","kohls","soeder","jamaika","scholz","bundestag","brinkhaus","schulze","fdp","angela","angela","wahl","berlin","polen","koalition","markus","bundeskanzlerin","angela"
"23","runde","labour","ole","wahl","bundestag","berlin","berlin","steinbrueck","waehler","reformen","ministerpraesident","schill","liberalen","wahlgang","milbradt","bundeskanzler","wahlkampf","angela","neuwahlen","waehler","parteien","debatte","gesundheitsreform","ministerpraesidenten","herrmann","gruenen","csu","muentefering","waehler","politischen","fpoe","wahlkampf","liberalen","linken","mehrheit","regierungserklaerung","angela","waehler","wahl","lindner","waehler","regierung","westerwelle","csu","bruederle","berlin","frau","liberalen","berlin","koalition","merkels","mindestlohn","kanzlerin","wahlkampf","gabriels","schulden","wahlkampf","linken","politik","politik","bundeskanzlerin","fluechtlingspolitik","merkels","parteitag","wahl","mélenchon","union","bundespraesident","bundestag","opposition","bundestag","angela","waehler","berlin","soeder","berlin","ministerpraesidenten","umfragen","startbahn","armin","koalition","bayern"
"24","wahl","regierung","regierung","angela","regierung","regierung","schroeders","moellemann","bundesrat","ministerpraesidenten","politik","opposition","beust","ministerpraesident","sachsen","gerhard","liberalen","wahl","westerwelle","edmund","sonntag","franz","mecklenburgvorpommern","berlin","berlin","berlin","stoiber","sozialdemokraten","roland","berlin","faymann","hessen","sozialdemokraten","parteien","markus","schroeder","pinkwart","wulff","gruene","guido","wulff","bundeskanzlerin","regierung","linke","philipp","schroeder","karlsruhe","wahlkampf","wahlkampf","kanzlerkandidat","rotgruen","linke","mehrheit","goeringeckardt","berlin","berlin","opposition","rueckbau","linke","bundeskanzlerin","rheinlandpfalz","fluechtlinge","jusos","union","linken","umfragen","wahl","droese","bundestagswahl","umfragen","fdp","habeck","bullmann","krampkarrenbauer","landtagswahlen","macron","demokratie","merkels","macron","fdp","merkels","koalition"
"25","doering","opposition","csu","ampelkoalition","stoibers","csu","rotgruen","bundestagswahl","ministerpraesident","amt","rau","bundeskanzler","wolfgang","berlin","fdp","fdp","schleswigholstein","spdchef","reformen","kanzler","politik","csu","parteien","gerechtigkeit","franz","beckstein","meseberg","kjaersgaard","gruenen","rede","guenther","linke","linken","wiesheu","gruenen","parteien","westerwelle","wehrpflicht","konservativen","berlin","buerger","energiewende","seehofer","bundeskanzlerin","gruenen","ministerpraesident","gruenen","amerikahaus","schavan","landtag","schwarzgelb","wahl","sigmar","spitzenkandidat","ruestungsexporte","bundeswehr","ministerpraesident","wilders","mehrheit","regierung","landtagswahlen","wahl","berlin","rede","waehler","laschet","horst","bundestagswahl","gabriel","vonarb","amt","spahn","schaeuble","kuehnert","vermoegensteuer","amt","lindner","koalition","bundestagswahl","pandemiebekaempfung","csu","wahlprogramm"
"26","stoiber","amt","rotgruen","bundestagswahl","kandidat","stoibers","hartz","nordrheinwestfalen","berlin","ministerpraesident","waehler","politischen","opposition","merkel","lafontaine","muentefering","ministerpraesident","neuwahlen","lafontaine","amt","liberalen","umfragen","gerechtigkeit","baring","wirtschaftsminister","christdemokraten","huber","bayern","kanzlerin","muesse","stimmen","wahl","wahlkampf","mehrheit","merz","aussenminister","bundeskanzlerin","abgeordneten","fraktion","horst","opposition","gruene","kretschmann","sonntag","parteien","union","liberale","sozialdemokraten","stoess","waehler","ministerpraesident","buendnis","gabriels","andrea","schwedendemokraten","parteien","bundeskanzlerin","ddr","sigmar","wahlkampf","merkels","waehler","seehofer","bundeskanzlerin","union","union","waehler","opposition","ministerpraesident","bundesregierung","bundestagswahl","schaeuble","bayern","grundrente","politiker","hoecke","abgeordneten","csu","wahl","merz","kretschmann","lindner"
"27","wahlkampf","runde","bundeswehr","schill","waehler","mueller","csu","fischer","fischer","genossen","minister","ministerpraesident","csu","sozialdemokraten","regierung","thierse","berlin","debatte","bundestag","reformen","wahlkampf","pofalla","grundsatzprogramm","wahl","muesse","konservativen","franz","wahl","linkspartei","sprach","wahl","mehrheit","glos","westerwelle","ministerpraesident","seehofer","bvb","wahl","schwarzgelben","politischen","steinbrueck","buerger","wahl","buerger","doering","liberalen","kritik","legislaturperiode","parteichef","schmid","peer","opposition","rheinlandpfalz","christdemokraten","bundeswehr","bundestag","linke","bundestag","kanzleramt","brandt","linken","spoe","mecklenburgvorpommern","vermoegensteuer","fdp","franzosen","merkels","bundestag","martin","fluechtlingspolitik","umfragen","waehler","bundestag","politik","csu","sozialdemokraten","csu","kemmerich","bund","waehler","fehler","wahlkampf"
"28","struck","politischen","gerhardt","bundestag","gysi","stimmen","cdu","merkel","rede","debatte","fdp","rotgruenen","waehler","stoiber","csu","fischer","fischer","fdp","csu","gabriel","umfragen","frau","seidel","linkspartei","kreuth","ruecktritt","linkspartei","bundespraesident","sozialdemokraten","lafontaine","lafontaine","maget","wahl","sozialdemokraten","wahl","trittin","pohlmann","bundestag","fuecks","wulff","minister","rotgruen","lindner","parteichef","mehrheit","bundestag","gewaehlt","ministerpraesidenten","wowereit","gewaehlt","bundestag","parteitag","nrw","lucke","wehrtechnik","bundesregierung","ministerpraesidenten","fdp","politiker","mehrheit","union","wahlkampf","fluechtlingen","schaeuble","rutte","françois","macron","waehler","regieren","antrag","regierung","soeder","soeder","europaparlament","kandidaten","ministerpraesident","linken","bayern","badenwuerttemberg","sozialdemokraten","stimmen","wahl"
"29","ruecktritt","sozialdemokraten","buergermeister","politik","pieper","kandidaten","stoibers","parteien","muentefering","linken","fischer","fischer","angela","horst","opposition","wehrpflicht","abgeordnete","muenteferings","bundeskanzler","grosse","huber","berlin","npd","leipzig","ausstieg","ministerpraesidenten","ramsauer","amt","beust","beck","bundeskanzlerin","ministerpraesident","horst","ministerpraesident","wulff","heil","langemeyer","mehrheit","buergermeister","abgeordnete","scholz","schwarzgelb","gabriel","bruederle","aussenminister","liberale","sozialdemokraten","roesler","westerwelle","gabriel","helmut","koalitionsverhandlungen","minister","kandidat","parteien","waehler","finanzminister","rostock","abgeordnete","amt","budde","sozialdemokratie","steigerwald","mehrheit","marine","sozialdemokraten","kohl","regierung","bayern","merkels","schaeuble","friedrich","koalitionsvertrag","kandidaten","linken","sachsen","merkels","markus","parlament","kanzleramt","osterruhe","bundestagswahl"
"30","union","steffel","edmund","vertrauensfrage","kohl","huber","spaeth","mehrheit","wolfgang","wahl","berlin","merkel","cduchefin","wahlen","koalition","westerwelle","wolfgang","schroeders","grosse","gruenen","fraktion","merkels","landtag","gesundheitsreform","landtagsfraktion","wahlkampf","hessen","pauli","schroeder","linken","amt","ramsauer","steinbrueck","grundgesetz","sozialdemokraten","bundestag","schaeuble","roland","debatte","bundesbank","parteien","freiheit","ministerpraesident","opposition","waehler","ministerpraesidenten","ilse","gesagt","kohl","horst","kohl","steuererhoehungen","parteien","kanzlerin","amt","linken","koalitionspartner","spdchef","heidenau","spahn","politik","linke","erdogan","amt","gauck","marine","obergrenze","amt","linke","ministerpraesident","soeder","hartmann","amt","amt","parteien","friedrich","landtag","berlin","armin","gruene","friedrich","vogel"
"31","ministerpraesidenten","gruene","hamburg","buergermeister","ministerpraesident","politik","rotgruenen","politik","fdp","mehrheit","bundeskanzler","ministerpraesidenten","politik","bundesregierung","wahlen","sachsen","bundeskanzler","reformen","schwarzgelb","koalitionsverhandlungen","edmund","neuwahlen","ministerpraesidenten","muesse","programm","stoibers","seppelt","waehler","franz","kanzlerin","fdp","waehler","muentefering","linke","frankwalter","rede","ahlhaus","guido","regierung","aussenminister","gabriel","opposition","merkels","bundesregierung","hannover","parteien","kreis","freistaat","wirtschaftsminister","schroeder","  baum","schaeffler","fraktion","opposition","politik","schaeuble","bayern","spiegel","liberalen","finanzminister","wolf","kanzler","politiker","politik","merkels","parteien","stimmen","gabriel","waehler","horst","sozialdemokraten","hessen","annegret","rede","ministerpraesident","fdp","friedrich","pis","amt","spahn","markus","laschets"
"32","amt","angela","bundeskanzler","ampel","sachsenanhalt","spaeth","mehrheit","kabinett","landtagswahlen","bayern","bayern","mehrheit","reformen","nordrheinwestfalen","gerhard","bundestag","maichel","ministerpraesident","mehrheit","steinbrueck","erwin","heil","freiheit","politik","bundeskanzlerin","roewekamp","steinbrueck","politischen","angela","bundestagswahl","parteien","linken","linkspartei","politik","merkels","steuersenkungen","amt","ruettgers","profil","berliner","debatte","amt","wulff","wirtschaftsminister","linken","niederlage","kohl","steinbruecks","minderheitsregierung","konservativen","amt","taz","steinmeier","liberale","koalitionspartner","sarkozy","schaeuble","politik","waehler","bundesregierung","sigmar","bellen","verantwortung","fluechtlingskrise","politiker","emmanuel","sozialdemokraten","verantwortung","koalitionsverhandlungen","amt","schroeder","parteien","bundesregierung","sonntag","wahlen","bundestagswahl","bundestag","opposition","thueringen","opposition","baerbock","christian"
"33","minister","schroeders","bayern","beust","stimmen","ministerpraesident","wahlsieg","gruene","stoiber","berlin","scholz","parteitag","amt","howard","griese","carstensen","hartz","kapitalismuskritik","wahlergebnis","ministerpraesident","franz","montag"," ","henkel","parteichef","linken","andrea","strauss","fdp","gegner","ypsilanti","opposition","wirtschaftsminister","linkspartei","sonntag","guido","wowereit","finanzminister","opposition","fruehere","mcallister","kauch","schaeffler","westerwelle","schmidt","westerwelle","wahl","gabriel","bundestag","soeder","  waigel","merkels","berlin","csu","minister","sozialdemokraten","abgeordneten","aigner","fluechtlinge","horst","umfragen","bundeskanzlerin","wahl","demokratie","sigmar","bundestagswahl","ministerpraesident","sozialdemokraten","gruenen","wahl","berlin","ministerpraesident","nooke","klimaschutz","cduchefin","bundeswehr","linkspartei","wahl","kanzleramt","kutscher","opposition","karlerivan"
"34","gruene","politik","politischen","edmund","opposition","ministerpraesidenten","merkel","kanzlers","koch","berliner","beust","howard","parteien","stimmen","wahlkampf","gesundheitskompromiss","kritik","helmut","rotgruen","sozialdemokraten","guenther","alleinstellungsmerkmal","sozialdemokraten","landtag","horst","horst","umfragen","volkspartei","amt","koehlers","politik","politik","ministerpraesidenten","raschke","maas","waehler","waehler","stimmen","westerwelle","amt","wahlen","mehrheit","kohl","regierung","bundeskanzlerin","stimmen","sonntag","stoess","rede","staatsregierung","legislaturperiode","kanzleramt","kritik","wirtschaftsminister","flughafen","schwarze","ramsauer","ehmke","kabinett","gruenen","zorneding","wien","linken","konservativen","kandidaten","gruene","gabriel","regieren","merkels","waehler","kanzler","bundestag","schneider","anhaenger","kretschmer","kanzler","suder","esken","habeck","schroeder","seehofer","afd"
"35","kabinett","ldp","hamburger","fraktion","schroeders","hoeppner","moellemann","politischen","gruene","wolfgang","glos","ldp","ministerpraesident","amt","brandenburg","parteitag","regierung","lafontaine","muentefering","land","steinbrueck","gruenen","vorsitzende","volkspartei","berliner","freiheit","koalitionspartner","gerechtigkeit","mehrheit","linkspartei","haider","frankwalter","bayern","bundespraesident","buendnis","hilmer","nordrheinwestfalen","schroeder","kraft","wahlkampf","umfragen","helmut","rotgruen","koalitionspartner","guido","philipp","bundeskanzlerin","betreuungsgeld","gruene","sozialdemokratie","afd","soeder","thueringen","gruene","bundestag","lindner","griechen","lobbyisten","gewaehlt","transitzonen","linke","gewaehlt","wahlkampf","sozialisten","links","bundeskanzler","rede","okamura","ofd","abgeordneten","kauder","wahl","olaf","nahles","bismarck","kanzleramt","amt","muesse","kandidaten","parlament","wahl","karliczek"
"36","parteien","reformen","scholz","wahlkampf","steffel","rau","sonntag","wahlkampf","bundestag","bundestag","fraktion","beust","berlin","fischer","umfragen","friedrich","landtagswahl","ruettgers","sozialdemokraten","bundeskanzlerin","berlin","bundeskanzler","bundestagswahl","kabinett","pauli","mehrheit","stuehmer","koch","kurt","niedersachsen","wolf","parteitag","frankwalter","ruettgers","buerger","gewaehlt","fruehere","kochs","liberalen","linken","laufzeitverlaengerung","landesregierung","gruene","liberale","schlarmann","norbert","wirtschaftsminister","wahl","sozialdemokraten","barwasser","politik","wowereit","bundeswehr","linke","arnold","bundeskanzlerin","aigner","finnen","offen","kerber","buerger","csuchef","bundestagswahl","hollande","gabriels","linke","bayern","koalitionsverhandlungen","fluechtlingspolitik","geht","bundesregierung","gruene","volksbegehren","freistaat","emder","csu","nordrheinwestfalen","parteien","berlin","landtag","wahlkampf","scholz"
"37","erwin","bundestag","schily","rotrot","guido","bundeskanzler","politischen","fdp","wiefelspuetz","clement","stimmen","mueller","stimmen","bundestag","osten","franz","milbradt","gruene","ergebnis","barzel","badenwuerttemberg","bundeskanzlerin","volkspartei","koch","minister","kandidaten","themen","spdchef","politisch","grundgesetz","bzoe","linkspartei","mehrheit","kommers","lafontaine","koalitionsvertrag","finanzminister","merkels","rentengarantie","bundeskanzlerin","linken","liberalismus","wirtschaftsregierung","mitglieder","bundestagswahl","wahl","enders","waehlern","ministerpraesident","opposition","linkspartei","horst","ministerpraesidentin","wahl","legislaturperiode","gruene","themen","bundeskanzlerin","minister","parteien","ministerpraesident","sigmar","mehrheit","le","bundestagswahl","linken","ergebnis","minderheitsregierung","soeder","frau","wahl","baerbock","opposition","buergermeister","paqué","positionen","scholz","bayerns","sebastian","merkels","nordrheinwestfalen","ministerpraesidenten"
"38","berliner","parteien","westerwelle","wedemeier","bundestagswahl","wolfgang","cducsu","genossen","politik","waehler","ole","fraktion","ministerpraesidenten","zuwanderungsgesetz","blair","hoehn","sozialdemokraten","parteien","politischen","parteien","konservativen","gestern","lebensluegen","adenauers","gerhard","landtag","sachsen","wieczorekzeul","buergermeister","monster","mehrheit","sozialdemokraten","bund","bayern","schwarzgelb","koalitionsverhandlungen","liberalen","bundespraesident","beust","persoenlich","kraft","berlin","wirtschaftsminister","ministerpraesidenten","niederlage","wahlkampf","rainer","schroeder","bundeskanzlerin","ministerpraesident","liberalen","bund","sozialdemokraten","mehrheit","schwedische","wahlgang","valls","opposition","vizekanzler","schmidts","aigner","rechtspopulisten","amt","fluechtlinge","bundestag","frankreichs","gruene","parteichef","amt","olaf","wolfgang","minister","fraktion","opposition","wolle","merkels","markus","bundesregierung","wahlkreise","scholz","muesse","markus"
"39","waehler","berliner","wulff","mueller","schill","kanzlerkandidat","ministerpraesident","legislaturperiode","bundesregierung","agenda","petersen","thierse","politischen","kanzleramt","maas","vesper","gruene","umfragen","umfragen","cducsu","bundeskanzlerin","parteispitze","umfragen","wulff","neujahrsempfang","buttolo","metz","liberalen","ypsilantis","sperrminoritaet","angela","huber","agenda","muentefering","muentefering","schwarzgelben","haushaltsloch","ministerpraesidenten","speer","liberalen","kauder","politischen","schaeuble","kanzleramt","ministerpraesidenten","parteichef","berliner","fraktion","demoskopen","stewens","horst","eucken","wahlkampf","ministerpraesident","afd","stimmen","parteien","waehler","rechtsextremen","radmann","haseloff","fluechtlingskrise","minister","seehofer","pvv","nordrheinwestfalen","berlin","politische","sonntag","nrw","innenminister","nahles","gelbwesten","wippel","gruene","annegret","umfragen","schroeder","olaf","stimmen","gruendonnerstag","kanzlerkandidat"
"40","aussenminister","trittin","innere","parteitag","parteien","pds","westerwelle","wahlen","kanzleramt","schweden","mueller","debatte","bulmahn","thueringen","politik","regierung","stimmen","land","wahlen","glos","minister","reformen","fdp","gauland","glos","kabinett","linken","berliner","ministerpraesidenten","leitlinien","linke","merkels","enteignung","politische","politik","linkspartei","politischen","politischen","bayern","wahl","regierung","badenwuerttemberg","abgeordnete","seehofer","tag","roettgens","politische","rotgruen","philipp","patrizia","bruederle","grosse","linke","sigmar","cerar","kritik","gruene","fluechtlinge","bundeskanzlerin","umfragen","landtag","norbert","linke","bundesregierung","vučić","kretschmann","amt","parteitag","wahlkampf","laudenbach","olaf","kanzler","politische","wahlkampf","linke","kanzlerkandidat","regieren","sonntag","markus","kramer","badenwuerttemberg","warschau"
"41","bundesregierung","stoiber","thema","koalitionspartner","bayern","westerwelle","sommer","kritik","mehrheit","bayerische","goeran","stimmen","franz","rotgruen","npd","umfragen","roels","politischen","buendnis","merkels","merkels","parteien","profil","parteien","landtagswahl","muentefering","merkels","klaus","politischen","berliner","oesterreich","schroeder","franz","schwan","liberalen","regierung","guido","landtagswahl","laschet","regierung","lindner","atompolitik","sozialdemokraten","mitgliederentscheid","wolle","landtagswahl","bundestagswahl","berlin","niedersachsen","waehlern","sonntag","koalitionspartner","gern","landtag","kmw","buendnis","wirtschaftsminister","ministerpraesident","wirtschaftsminister","grenze","etablierten","faymann","opposition","linken","mehrheit","stichwahl","csuchef","wahlen","buerger","liberalen","kohl","bundestagswahl","minister","steht","wahl","akk","armin","bundestag","schroeder","debatte","kabinett","kanzleramt"
"42","geissler","parlament","stimmen","blair","politischen","politische","opposition","gabriel","rotgruenen","politik","sonntag","olaf","stoiber","sonntag","sozialdemokraten","bayern","umfragen","gewaehlt","pds","stoibers","westerwelle","mueller","wirtschaftsminister","berliner","fdp","minister","roland","wahlkampf","gerechtigkeit","bundeskanzlerin","fraktion","lafontaine","stimmen","bayerischen","ministerpraesidenten","bundestagswahl","beust","friedrich","ahlhaus","gegner","stuttgart","ministerpraesident","guido","berlin","bundespraesident","kabinett","philipp","staedten","kurt","bayerischen","linke","falsch","bayerischen","oezdemir","wahlen","null","bundestag","wahlen","sachsen","gerhard","kloeckner","union","kretschmann","themen","liberalen","afd","liberalen","gewaehlt","cottbusser","berlin","kanzlerschaft","annegret","estland","grossen","waehler","bundeskanzlerin","ostdeutschen","brandenburg","kanzlerkandidat","bundeskanzlerin","bundestagswahl","buergermeister"
"43","beck","mehrheit","gerhard","csu","franz","boehmer","position","koalitionsverhandlungen","rotgruene","lafontaine","kritik","hamburger","waehlen","kandidaten","gruenen","politik","pds","waehler","berlin","schoenbohm","gerhard","sitze","waehler","profil","gruenen","angela","schaeuble","links","hessische","wort","volkspartei","wahlen","linke","magdeburg","waehlen","merkels","sozialdemokraten","berlin","bundestagswahl","bundesregierung","atompolitik","steuersenkungen","roeslers","bundesbank","landtag","schleswigholstein","schaeffler","bundeskanzlerin","hoeness","bruederle","sozialdemokraten","gespraeche","bayerische","parteifreunde","konsolidierung","muesse","widerstand","juergen","gerhard","fluechtlingen","lindner","soegel","gewaehlt","umfragen","kandidat","lindner","kanzler","parlament","kurth","fluechtlinge","bayerische","seehofer","kamann","koalitionsvertrag","sonntag","baerbock","wahl","kanzleramt","demokrat","stellungnahme","spahn","gruene"
