"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","12.4026","13.8246","11.2703","11.5152","11.5415","11.0541","9.1258","10.5362","10.1982","11.1607","11.8739","13.4596","13.0245","10.737","14.3094","14.3634","14.7764","16.4494","14.1172","16.2419","17.5093","14.6636","14.6963","16.304","12.8655","14.5017","11.4245","10.7679","10.6789","12.5093","11.6999","9.9193","10.5234","11.0334","10.1431","11.1085","10.3592","10.2601","9.0925","10.055","8.2646","9.739","8.9462","9.0317","8.7802","8.693","10.6944","12.1399","10.0894","11.0668","11.4211","11.3795","9.8022","10.0915","10.6917","9.9262","12.333","13.0787","10.4509","11.4519","12.6016","11.2176","11.6605","11.4536","12.4038","11.2561","11.5337","11.2896","12.4824","9.4487","10.6592","10.4841","9.0455","11.0437","9.9056","10.3926","10.2366","12.0994","10.7007","10.3258","10.9716","11.8289"
"Share (in %) on ""wirtschaft""-corpus","0.7926","0.7752","0.8872","1.1489","0.6654","0.7601","0.7487","0.7966","1.0305","0.7872","0.7056","0.7914","0.8577","0.6584","0.8682","0.8844","0.7596","0.9544","0.865","0.8461","0.8329","0.7523","0.66","0.8396","0.5729","0.6838","0.733","0.6803","0.7359","0.7109","0.7884","0.8936","0.8669","0.6866","0.6563","0.7206","0.7291","0.8014","0.7589","0.8094","0.6383","0.7717","0.9381","0.9424","0.6567","0.734","1.0208","0.9906","0.8305","0.8251","0.8802","0.7432","0.7001","0.594","0.7977","0.7973","1.0591","0.896","0.8283","0.9492","1.373","1.1463","1.4929","1.4617","1.6812","1.2355","1.0533","1.1401","1.0961","0.9477","1.0432","1.13","1.123","1.072","1.1539","1.0838","1.4392","1.6834","1.1624","1.1816","1.0416","1.0222"
"Share (in Promille) on entire corpus","2.2657","2.1458","2.3455","3.1262","1.826","2.0706","2.2642","2.414","2.9168","2.2262","1.9285","2.195","2.3837","1.8445","2.2751","2.4588","2.0268","2.6112","2.2714","2.3189","2.1349","1.8546","1.608","2.1936","1.5075","1.8149","1.9268","1.8629","2.012","1.9279","2.1811","3.0711","3.0986","2.3712","2.0863","2.0379","2.2172","2.4562","2.3315","2.5939","2.074","2.447","3.0894","3.1166","2.0526","2.3946","3.234","3.2136","2.6612","2.6568","2.7484","2.3033","2.2401","1.9297","2.4851","2.5282","3.366","2.8595","2.6285","2.8648","4.2424","3.6753","4.5103","4.594","5.3218","3.8797","3.3349","3.5817","3.4862","2.9849","3.4883","3.7566","3.6187","3.6617","3.9903","3.7859","5.5423","7.2961","4.4786","4.4489","3.9755","3.6488"
"1","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","welt","menschen","menschen","menschen","menschen","welt","menschen","freiheit","menschen","politik","wissenschaft","menschen","freiheit","gesellschaft","gesellschaft","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","keynes","menschen","menschen","menschen","menschen","menschen","generation","menschen","menschen","menschen","menschen","menschen","fluechtlinge","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","freiheit","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","gesellschaft"
"2","menschen","politik","stammzellen","deutschland","europa","gesellschaft","menschen","deutschland","deutschland","menschen","deutschland","menschen","menschen","menschen","menschen","deutschland","menschen","deutschland","menschen","europa","politik","globalisierung","menschen","gesellschaft","menschen","politik","welt","welt","globalisierung","politik","menschen","politik","menschen","politik","vertrauen","menschen","politik","menschen","menschen","verantwortung","politik","politik","politik","wissenschaft","frey","politik","friedman","mittelschicht","menschen","marktwirtschaft","gesellschaft","freiheit","europa","welt","menschen","fluechtlinge","freiheit","europa","fluechtlinge","fluechtlinge","menschen","gesellschaft","globalisierung","gesellschaft","globalisierung","globalisierung","gesellschaft","gesellschaft","sozialen","politik","gesellschaft","menschen","gesellschaft","europa","gesellschaft","freiheit","gesellschaft","gesellschaft","gesellschaft","gesellschaft","gesellschaft","menschen"
"3","politik","deutschland","menschen","menschen","deutschland","menschen","deutschland","gesellschaft","menschen","deutschland","gesellschaft","deutschland","politik","deutschland","politik","menschen","deutschland","menschen","deutschland","menschen","gesellschaft","freiheit","gesellschaft","politik","politik","menschen","gesellschaft","politik","gesellschaft","welt","marktwirtschaft","staat","politik","gesellschaft","menschen","politik","gesellschaft","politik","politik","politik","gesellschaft","gesellschaft","gesellschaft","gesellschaft","freiheit","gesellschaft","politik","gesellschaft","politik","freiheit","staat","gesellschaft","gesellschaft","europa","heute","heute","gesellschaft","wissenschaft","gesellschaft","gesellschaft","gesellschaft","integration","gesellschaft","globalisierung","gesellschaft","gesellschaft","europa","globalisierung","gesellschaft","gesellschaft","demokratie","mittelschicht","demokratie","demokratie","politik","gesellschaft","welt","leben","bildung","wissenschaft","wissenschaft","politik"
"4","gesellschaft","menschen","deutschland","politik","sicherheit","politik","heute","menschen","politik","politik","politik","politik","gesellschaft","politik","deutschland","europa","staat","europa","gibt","deutschland","deutschland","menschen","europa","soziale","globalisierung","gesellschaft","reformen","freiheit","deutschland","sozialen","politik","welt","marktwirtschaft","welt","system","freiheit","freiheit","vertrauen","freiheit","menschen","gibt","soziale","wissen","heute","demokratie","wissen","wohlstand","bildung","schirrmacher","gesellschaft","politik","staat","freiheit","gesellschaft","gesellschaft","gesellschaft","demokratie","shiller","weizsaecker","bevoelkerung","deutschland","politischen","deutschland","europa","welt","europa","buerger","politik","soziale","zukunft","politik","demokratie","soziale","gesellschaft","leben","demokratie","leben","demokratie","bevoelkerung","freiheit","pandemie","freiheit"
"5","deutschland","europa","politik","europa","gesellschaft","politischen","politik","politik","heute","heute","menschen","forschung","sicherheit","gibt","soziale","heute","politik","politik","heute","politik","radkau","deutschland","tun","menschen","europa","freiheit","politik","veltroni","politik","staat","sozialen","vertrauen","welt","arbeit","gesellschaft","gesellschaft","marktwirtschaft","staat","kittelmann","welt","angst","wissen","studien","arbeit","heute","rationalitaet","heute","gibt","oekonomie","staat","sozialen","heute","demokratie","politik","tun","leben","kapitalismus","gesellschaft","heute","angst","europa","heute","welt","demokratie","europa","demokratie","arbeit","soziale","europa","muenkler","generation","gesellschaft","herr","soziale","politischen","marktwirtschaft","denken","soziale","leben","politik","bevoelkerung","demokratie"
"6","heute","fragen","beispiel","gibt","freiheit","heute","staat","gibt","gesellschaft","gesellschaft","heute","gibt","deutschland","europa","gibt","politik","gibt","gibt","politik","staat","europa","heute","fragen","sozialen","freiheit","staat","sozialen","soziale","welt","globalisierung","soziale","gesellschaft","jacobs","staat","demokratie","entscheidungen","jahrhundert","gesellschaft","politische","staat","politischen","politiker","welt","gibt","generation","denken","politischen","leben","agenda","wohlstand","freiheit","vertrauen","heute","heute","wissen","gibt","welt","freiheit","deutschland","politik","politik","demokratie","mathematik","politik","politik","deutschland","gibt","gibt","politik","soziale","deutschland","leben","politik","buerger","demokratie","politik","politik","welt","soziale","politische","leben","welt"
"7","europa","gesellschaft","gibt","heute","heute","vertrauen","europa","vertrauen","gibt","gibt","gibt","winnacker","zukunft","gesellschaft","gesellschaft","gibt","heute","heute","gesellschaft","gibt","freiheit","europa","staat","deutschland","staat","deutschland","demokratie","sicherheit","dichtung","gesellschaft","gesellschaft","globalisierung","meier","marktwirtschaft","politischen","sicherheit","beck","sozialen","demokratie","politiker","heute","arbeit","award","welt","gesellschaft","entscheidungen","gesellschaft","freiheit","staat","heute","soziale","leben","politik","staat","gibt","kahneman","fukuyama","ungleichheit","politik","deutschland","bevoelkerung","welt","europa","freiheit","demokratie","politik","glaube","sozialen","heute","sozialen","heute","globalisierung","europa","welt","freiheit","welt","soziale","krise","freiheit","buerger","politik","politischen"
