"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.6588","5.175","4.9812","7.1395","6.4894","10.9434","5.8411","7.0147","9.9839","9.2996","4.4092","6.9506","9.1455","5.9681"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","partei"
"3","kunden","grossbritannien","energien","milliarden","usa","gesellschaft","fonds","gesetz","kinder","dax","studenten","inflation","wachstum","merkel"
"4","firmen","brexit","oel","umsatz","chinas","politik","anleger","euro","frauen","dollar","muenchen","banken","quartal","cdu"
"5","firma","bruessel","energiewende","mrd","peking","gibt","kunden","arbeitgeber","mann","investoren","millionen","zinsen","deutschland","fdp"
"6","internet","russland","energie","millionen","russland","heute","euro","spd","menschen","analysten","messe","geldpolitik","unternehmen","gruenen"
"7","manager","britische","erneuerbaren","gewinn","krieg","deutschland","immobilien","reform","frau","kurse","hamburger","notenbank","konjunktur","koalition"
"8","daten","britischen","co","mio","chinesischen","freiheit","geld","arbeitnehmer","eltern","boerse","bayern","eurozone","deutschen","union"
"9","digitalisierung","land","wasserstoff","quartal","iran","demokratie","wohnungen","eichel","familie","boersen","fc","fed","rueckgang","csu"
"10","ki","briten","preise","unternehmen","praesident","soziale","sparkassen","gewerkschaften","leute","anleihen","trainer","griechenland","deutsche","schroeder"
"11","digitale","frankreich","industrie","aktie","washington","europa","versicherer","ig","maenner","gold","saison","iwf","entwicklung","scholz"
"12","startups","parlament","tonnen","geschaeft","obama","leben","zinsen","beschaeftigten","paar","aktie","berlin","staatsanleihen","industrie","kanzler"
"13","mitarbeitern","london","klimaschutz","jahr","chinesische","sozialen","investoren","metall","vater","punkten","spieler","euroraum","konsum","afd"
"14","google","premier","pro","siemens","land","globalisierung","immobilie","unternehmen","heute","usa","fussball","italien","aufschwung","kanzlerin"
"15","digitalen","europaeischen","kohle","mill","ukraine","tun","eigenkapital","berlin","erzaehlt","aktienmarkt","berliner","draghi","investitionen","angela"
"16","intelligenz","tuerkei","produktion","vorstandschef","bush","zukunft","rendite","arbeit","stadt","bank","gaeste","notenbanken","deutlich","parteien"
"17","fuehrungskraefte","pfund","eon","rund","irak","buerger","markt","regelung","mutter","fed","hochschulen","europaeischen","arbeitsmarkt","waehler"
"18","branche","putin","preis","analysten","amerika","frage","kredite","kommunen","spaeter","punkte","studium","dollar","prognose","stoiber"
"19","software","moskau","barrel","geschaeftsjahr","putin","staat","aktien","muesse","jahre","minus","sport","europaeische","erwartet","wahl"
"20","arbeiten","may","verbraucher","uebernahme","trumps","politischen","vermoegen","rente","junge","rendite","mannschaft","schulden","rezession","ministerpraesident"
"21","neue","russischen","rwe","konzerns","amerikaner","fragen","commerzbank","kommission","tag","papiere","verein","euro","oekonomen","sozialdemokraten"
"22","beispiel","europa","kraftwerke","vw","staaten","bevoelkerung","mieten","gewerkschaft","buch","zinsen","kunst","usa","nachfrage","bundestag"
"23","produkte","polen","erdgas","volkswagen","praesidenten","wissen","altersvorsorge","bahn","kind","index","messen","rezession","erholung","wahlkampf"
"24","unternehmens","referendum","erneuerbare","bayer","xi","brauchen","mieter","fordert","jungen","aktienmaerkte","fans","finanzmaerkte","weltwirtschaft","merz"
"25","mittelstaendler","russische","foerderung","daimler","biden","verantwortung","kaeufer","gesetzlichen","schule","renditen","reisen","waehrung","firmen","seehofer"
"26","gruender","johnson","anlagen","verkauf","donald","beispiel","risiken","vorschlag","sohn","experten","besucher","waehrungsunion","befragten","lindner"
"27","anbieter","praesident","deutschland","aktionaere","regierung","denken","kapital","duerfen","kindern","leitindex","liga","oekonomen","anstieg","bundestagswahl"
"28","unternehmer","premierminister","ausbau","bmw","westen","marktwirtschaft","bafin","regelungen","zeit","quartal","hotels","zinssenkung","bip","berlin"
"29","berater","landes","opec","ersten","uspraesident","herr","institute","entwurf","geschichte","maerkte","lesen","leitzinsen","kommenden","gruene"
"30","markt","koenigreich","landwirtschaft","lufthansa","israel","gerade","frankfurt","clement","alt","gewinne","touristen","leitzins","rechnet","opposition"
"31","technologie","italien","kosten","hersteller","welt","sicherheit","renditen","betriebe","hause","morgan","koeln","krise","verbraucher","liberalen"
"32","deutschland","union","klimawandel","dollar","sanktionen","zeit","sparer","massnahmen","uhr","woche","euro","kredite","plus","regierung"
"33","geschaeft","austritt","bauern","sap","demokraten","politische","private","verfahren","macht","wall","bundesliga","maerkte","vorjahr","linken"
"34","amazon","kommission","liter","konzernchef","republikaner","wohlstand","wirecard","sprecher","job","plus","hotel","wirtschaft","rechnen","soeder"
"35","chef","berlusconi","emissionen","operative","nato","recht","anleihen","handelsblatt","sitzt","usnotenbank","klubs","wachstum","zahl","amt"
"36","telekom","sarkozy","wind","basf","amerikanischen","macht","risiko","betroffenen","arbeit","markt","veranstalter","anleihen","gestiegen","habeck"
"37","familienunternehmen","europaeische","gruene","kunden","russischen","wissenschaft","branche","gesetzentwurf","bisschen","street","mark","staaten","prognosen","bundeskanzler"
"38","nutzer","frankreichs","nachfrage","ergebnis","afghanistan","geht","immobilienfonds","urteil","alten","anlegern","wm","waehrungsfonds","monaten","bayern"
"39","facebook","ungarn","cent","thyssenkrupp","soldaten","buch","finanzkrise","kosten","gibt","dow","kuenstler","europa","umfrage","mehrheit"
"40","management","paris","wasser","konkurrenten","chinesen","bildung","banker","bundestag","stunden","freitag","spiele","finanzmaerkten","erwarten","politik"
"41","mittelstand","ukraine","bundesregierung","branche","russische","glaube","versicherungen","bundes","liebe","staatsanleihen","tourismus","regierung","vergleich","linke"
"42","microsoft","cameron","habeck","vorjahr","new","verstehen","deutschen","laender","haus","aktienkurse","geschaeftsfuehrer","japan","minus","merkels"
"43","innovationen","grossbritanniens","bau","boersengang","volksrepublik","richtig","vermieter","regierung","konnte","fondsmanager","klub","notenbanker","duerfte","umfragen"
"44","geschaeftsfuehrer","insel","jahr","autos","dollar","angst","eigentuemer","heisst","kirche","boersianer","universitaeten","yen","stark","gabriel"
"45","informationen","argentinien","energieversorgung","vergangenen","taiwan","system","preise","deutschland","alte","aktienmaerkten","hannover","finanzminister","bruttoinlandsprodukt","gerhard"
"46","nutzen","russlands","grad","operativen","indien","braucht","immobilienmarkt","regeln","lebt","vergangenen","veranstaltungen","bank","zweiten","ministerpraesidenten"
"47","technik","verhandlungen","gruenen","boerse","region","gesellschaftlichen","investieren","koalition","frueher","fiel","universitaet","geld","china","stimmen"
"48","kuenstliche","politische","branche","vorstand","hongkong","entscheidungen","darlehen","geplante","film","aktienindex","hochschule","konjunktur","lage","westerwelle"
"49","apple","abkommen","umwelt","aufsichtsrat","amerikanische","politiker","kfw","gericht","beruf","haendler","flughafen","risiken","exporte","olaf"
"50","technologien","franzoesischen","netz","zahlen","moskau","vertrauen","quadratmeter","forderung","kopf","titel","aussteller","inflationsrate","stimmung","kanzleramt"
"51","startup","eustaaten","hersteller","porsche","europa","geschichte","kredit","gesetzliche","mensch","erwartet","quadratmeter","weltwirtschaft","vergangenen","kohl"
"52","gibt","eukommission","oelpreis","unternehmens","landes","arbeit","wohnung","milliarden","gut","notierte","  ","zinssenkungen","ersten","minister"
"53","computer","konservativen","investitionen","halbjahr","york","generation","anbieter","gesetzgeber","geht","analyst","dortmund","trichet","halbjahr","bundeskanzlerin"
"54","gerade","franzosen","rohstoffe","ag","amerikas","gefuehl","allianz","union","fragt","commerzbank","league","lagarde","wirtschaftsforschung","ampel"
