"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.6188","5.2301","4.8931","7.195","6.2822","10.9083","5.9886","7.0025","10.0572","9.3867","4.3787","7.1349","9.0807","5.8433"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","usa","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","merkel"
"3","kunden","brexit","energien","milliarden","trump","gesellschaft","fonds","gesetz","kinder","dax","studenten","banken","wachstum","partei"
"4","firmen","grossbritannien","oel","umsatz","peking","politik","anleger","euro","frauen","dollar","muenchen","zinsen","quartal","cdu"
"5","firma","russland","energiewende","mrd","chinas","heute","kunden","arbeitgeber","mann","investoren","hamburger","geldpolitik","deutschland","fdp"
"6","internet","bruessel","energie","millionen","krieg","gibt","euro","spd","menschen","analysten","millionen","inflation","unternehmen","gruenen"
"7","manager","britische","erneuerbaren","mio","russland","freiheit","geld","arbeitnehmer","frau","kurse","messe","notenbank","konjunktur","koalition"
"8","daten","britischen","preise","gewinn","chinesischen","deutschland","immobilien","eichel","eltern","boerse","bayern","eurozone","deutschen","union"
"9","digitalisierung","land","co","quartal","iran","europa","versicherer","reform","familie","boersen","berlin","fed","rueckgang","csu"
"10","mitarbeitern","briten","tonnen","unternehmen","obama","soziale","sparkassen","gewerkschaften","leute","anleihen","fc","griechenland","deutsche","schroeder"
"11","digitale","london","barrel","aktie","praesident","demokratie","wohnungen","ig","maenner","gold","saison","iwf","entwicklung","kanzlerin"
"12","startups","parlament","wasserstoff","geschaeft","washington","globalisierung","zinsen","beschaeftigten","paar","punkten","trainer","staatsanleihen","aufschwung","angela"
"13","google","premier","industrie","jahr","land","leben","investoren","metall","vater","aktie","spieler","euroraum","industrie","kanzler"
