"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.6036","5.2277","4.8289","7.2325","6.2449","10.9368","6.0015","7.0116","10.0206","9.4444","4.4078","7.1852","9.0641","5.7905"
"1","unternehmen","eu","gas","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","strom","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","merkel"
"3","kunden","brexit","oel","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","banken","wachstum","partei"
"4","firmen","grossbritannien","energien","umsatz","peking","politik","anleger","gesetz","mann","dollar","muenchen","geldpolitik","quartal","cdu"
"5","firma","russland","energiewende","milliarden","chinas","heute","kunden","arbeitgeber","frauen","investoren","hamburger","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","millionen","krieg","gibt","euro","spd","menschen","analysten","messe","inflation","unternehmen","koalition"
"7","manager","britische","erneuerbaren","mio","iran","freiheit","geld","arbeitnehmer","frau","boerse","millionen","notenbank","konjunktur","gruenen"
"8","daten","land","preise","gewinn","obama","deutschland","immobilien","eichel","familie","kurse","bayern","eurozone","deutschen","union"
"9","digitalisierung","britischen","co","quartal","russland","europa","versicherer","reform","eltern","boersen","berlin","fed","rueckgang","csu"
"10","mitarbeitern","briten","tonnen","unternehmen","chinesischen","soziale","sparkassen","gewerkschaften","leute","anleihen","fc","griechenland","deutsche","schroeder"
"11","digitale","london","barrel","aktie","washington","demokratie","zinsen","ig","maenner","gold","saison","iwf","aufschwung","kanzlerin"
"12","google","parlament","eon","geschaeft","praesident","globalisierung","wohnungen","beschaeftigten","paar","punkten","trainer","staatsanleihen","entwicklung","angela"
