"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14"
"Proportion (%)","6.5692","5.3857","4.4757","7.3178","6.0036","11.2676","6.1009","7.0127","10.1465","9.4394","4.3497","7.2646","8.8908","5.7758"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","euro","leben","anleger","stadt","banken","wachstum","merkel"
"3","kunden","regierung","energien","mrd","usa","gesellschaft","fonds","bund","kinder","dax","studenten","zentralbank","wirtschaft","partei"
"4","firmen","grossbritannien","energiewende","umsatz","peking","politik","anleger","gesetz","mann","dollar","hamburger","zinsen","quartal","cdu"
"5","firma","russland","energie","milliarden","chinas","heute","kunden","eichel","frauen","investoren","muenchen","geldpolitik","deutschland","fdp"
"6","internet","bruessel","gas","mio","obama","gibt","geld","spd","menschen","analysten","millionen","notenbank","konjunktur","koalition"
"7","manager","land","preise","millionen","iran","deutschland","immobilien","arbeitnehmer","frau","boerse","berlin","eurozone","unternehmen","gruenen"
"8","daten","britische","barrel","gewinn","krieg","freiheit","euro","arbeitgeber","eltern","boersen","messe","griechenland","deutschen","union"
"9","digitalisierung","britischen","eon","quartal","bush","europa","versicherer","reform","familie","kurse","bayern","fed","rueckgang","schroeder"
"10","mitarbeitern","briten","erneuerbaren","aktie","washington","soziale","sparkassen","gewerkschaften","leute","anleihen","berliner","iwf","deutsche","csu"
"11","digitale","london","tonnen","mill","irak","globalisierung","investoren","ig","maenner","punkten","trainer","inflation","aufschwung","kanzlerin"
"12","google","tuerkei","opec","unternehmen","praesident","sozialen","rendite","berlin","vater","gold","hochschulen","staatsanleihen","entwicklung","angela"
"13","digitalen","parlament","pro","jahr","amerika","demokratie","zinsen","metall","heute","punkte","spieler","dollar","investitionen","stoiber"
"14","branche","europaeischen","verbraucher","siemens","chinesischen","staat","aktien","beschaeftigten","paar","aktienmarkt","studium","draghi","industrie","parteien"
"15","fuehrungskraefte","premier","kraftwerke","geschaeft","land","buerger","altersvorsorge","arbeit","erzaehlt","aktie","saison","euro","konsum","waehler"
"16","unternehmens","putin","rwe","vorstandschef","amerikaner","leben","risiken","kommission","stadt","bank","fc","euroraum","rezession","kanzler"
"17","neue","russischen","preis","uebernahme","trumps","tun","eigenkapital","unternehmen","mutter","usa","fussball","italien","deutlich","seehofer"
"18","startups","frankreich","kohle","analysten","chinesische","zukunft","markt","muesse","buch","minus","verein","europaeischen","arbeitsmarkt","sozialdemokraten"
"19","mittelstaendler","moskau","klimaschutz","rund","praesidenten","frage","wohnungen","regelung","spaeter","fed","mannschaft","notenbanken","prognose","ministerpraesident"
"20","telekom","may","co","konzerns","israel","politischen","kredite","kommunen","jahre","papiere","kunst","europaeische","erwartet","wahl"
"21","anbieter","russische","landwirtschaft","geschaeftsjahr","staaten","wissen","kapital","rente","junge","index","gaeste","waehrung","oekonomen","afd"
"22","software","europa","bauern","daimler","regierung","fragen","renditen","clement","geschichte","aktienmaerkte","messen","usa","nachfrage","wahlkampf"
"23","unternehmer","pfund","produktion","bayer","donald","marktwirtschaft","immobilie","gesetzlichen","kind","experten","liga","waehrungsunion","weltwirtschaft","bundestagswahl"
"24","geschaeft","referendum","foerderung","vw","amerikanischen","beispiel","vermoegen","gewerkschaft","tag","rendite","koeln","zinssenkung","bip","bundestag"
"25","produkte","ukraine","liter","verkauf","uspraesident","bevoelkerung","sparer","fordert","jungen","quartal","euro","schulden","erholung","opposition"
"26","chef","polen","erneuerbare","aktionaere","demokraten","sicherheit","commerzbank","vorschlag","zeit","woche","mark","finanzmaerkte","firmen","gabriel"
"27","arbeiten","praesident","jahr","volkswagen","new","brauchen","risiko","duerfen","sohn","leitindex","besucher","krise","befragten","berlin"
"28","berater","union","klimawandel","dollar","russland","denken","mieter","deutschland","schule","maerkte","universitaeten","rezession","anstieg","liberalen"
"29","deutschland","landes","industrie","lufthansa","republikaner","verantwortung","anleihen","betriebe","kindern","wall","universitaet","kredite","kommenden","merkels"
"30","gruender","austritt","anlagen","ersten","afghanistan","wissenschaft","institute","regelungen","macht","plus","hochschule","wachstum","rechnet","gerhard"
"31","amazon","italien","nachfrage","ergebnis","welt","wohlstand","bafin","regierung","hause","dow","touristen","maerkte","verbraucher","amt"
"32","markt","berlusconi","oelpreis","konzernchef","dollar","recht","private","verfahren","alt","morgan","geschaeftsfuehrer","waehrungsfonds","plus","politik"
"33","geschaeftsfuehrer","koenigreich","kosten","thyssenkrupp","chinesen","bildung","immobilienfonds","bahn","uhr","freitag","sport","staaten","prognosen","bayern"
"34","beispiel","russlands","dollar","konkurrenten","xi","zeit","mieten","entwurf","alten","street","quadratmeter","leitzinsen","vorjahr","mehrheit"
"35","facebook","johnson","ausbau","branche","george","gerade","frankfurt","bundestag","job","boersianer","klubs","oekonomen","monaten","westerwelle"
