"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.6101","5.2168","4.8442","7.2344","6.2551","10.9122","5.9851","6.9968","10.0583","9.4439","4.3968","7.1721","9.0721","5.8022"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","usa","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","merkel"
"3","kunden","brexit","energien","milliarden","trump","gesellschaft","fonds","gesetz","kinder","dax","studenten","banken","wachstum","partei"
"4","firmen","grossbritannien","oel","umsatz","peking","politik","anleger","euro","mann","dollar","muenchen","geldpolitik","quartal","cdu"
"5","firma","russland","energiewende","mrd","chinas","heute","kunden","arbeitgeber","frauen","investoren","hamburger","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","millionen","krieg","gibt","euro","spd","menschen","analysten","millionen","inflation","unternehmen","koalition"
"7","manager","britische","erneuerbaren","mio","iran","freiheit","geld","arbeitnehmer","frau","kurse","messe","notenbank","konjunktur","gruenen"
"8","daten","land","preise","gewinn","russland","deutschland","immobilien","eichel","familie","boerse","bayern","eurozone","deutschen","union"
"9","digitalisierung","britischen","co","quartal","obama","europa","versicherer","reform","eltern","boersen","berlin","fed","rueckgang","csu"
"10","mitarbeitern","briten","tonnen","unternehmen","chinesischen","soziale","sparkassen","gewerkschaften","leute","anleihen","fc","griechenland","deutsche","schroeder"
"11","digitale","london","barrel","aktie","washington","demokratie","zinsen","ig","maenner","gold","saison","iwf","aufschwung","kanzlerin"
"12","google","parlament","eon","geschaeft","praesident","globalisierung","wohnungen","beschaeftigten","paar","punkten","trainer","staatsanleihen","entwicklung","angela"
"13","startups","premier","pro","jahr","land","sozialen","investoren","metall","vater","aktie","spieler","euroraum","industrie","kanzler"
"14","digitalen","europaeischen","verbraucher","mill","bush","leben","rendite","berlin","heute","aktienmarkt","berliner","draghi","investitionen","parteien"
"15","fuehrungskraefte","tuerkei","kohle","siemens","irak","buerger","aktien","unternehmen","erzaehlt","usa","fussball","italien","deutlich","stoiber"
"16","branche","frankreich","industrie","vorstandschef","amerika","staat","eigenkapital","arbeit","stadt","punkte","hochschulen","dollar","konsum","waehler"
"17","software","putin","klimaschutz","rund","chinesische","zukunft","immobilie","muesse","mutter","bank","studium","europaeischen","rezession","ministerpraesident"
"18","neue","moskau","preis","analysten","amerikaner","tun","kredite","kommission","spaeter","fed","gaeste","notenbanken","arbeitsmarkt","afd"
"19","unternehmens","pfund","kraftwerke","uebernahme","staaten","frage","markt","regelung","jahre","minus","mannschaft","euro","prognose","wahl"
"20","mittelstaendler","may","rwe","geschaeftsjahr","praesidenten","politischen","altersvorsorge","kommunen","buch","papiere","verein","europaeische","erwartet","sozialdemokraten"
"21","arbeiten","russischen","produktion","konzerns","putin","wissen","vermoegen","rente","junge","index","messen","schulden","nachfrage","wahlkampf"
"22","gruender","europa","wasserstoff","daimler","trumps","fragen","commerzbank","gewerkschaft","tag","rendite","kunst","usa","oekonomen","seehofer"
"23","anbieter","russische","opec","volkswagen","regierung","bevoelkerung","risiken","gesetzlichen","jungen","aktienmaerkte","reisen","waehrung","weltwirtschaft","scholz"
"24","produkte","referendum","erneuerbare","bayer","ukraine","marktwirtschaft","mieter","fordert","kind","experten","sport","waehrungsunion","erholung","bundestag"
"25","beispiel","polen","erdgas","vw","israel","beispiel","kapital","clement","schule","quartal","besucher","rezession","firmen","bundestagswahl"
"26","unternehmer","johnson","landwirtschaft","aktionaere","xi","brauchen","mieten","betriebe","zeit","zinsen","hotels","finanzmaerkte","befragten","opposition"
"27","telekom","landes","anlagen","verkauf","uspraesident","verantwortung","bafin","duerfen","geschichte","woche","liga","oekonomen","bip","berlin"
"28","amazon","praesident","foerderung","lufthansa","donald","denken","renditen","regelungen","sohn","maerkte","euro","krise","kommenden","liberalen"
"29","geschaeft","union","bauern","ersten","sanktionen","sicherheit","sparer","vorschlag","kindern","leitindex","koeln","kredite","anstieg","amt"
"30","chef","austritt","klimawandel","dollar","afghanistan","wissenschaft","institute","bahn","macht","wall","touristen","zinssenkung","rechnet","gabriel"
"31","berater","koenigreich","ausbau","bmw","demokraten","politische","kaeufer","entwurf","alt","renditen","fans","maerkte","plus","gruene"
"32","markt","premierminister","liter","konzernchef","republikaner","gerade","frankfurt","verfahren","hause","morgan","hotel","leitzinsen","verbraucher","linken"
"33","intelligenz","italien","kosten","ergebnis","amerikanischen","recht","risiko","sprecher","job","plus","mark","anleihen","vorjahr","merkels"
"34","facebook","berlusconi","wasser","sap","welt","wohlstand","wirecard","betroffenen","uhr","gewinne","bundesliga","staaten","prognosen","bayern"
"35","familienunternehmen","sarkozy","deutschland","operative","westen","zeit","private","handelsblatt","sitzt","usnotenbank","veranstalter","wachstum","rechnen","gerhard"
"36","deutschland","ukraine","jahr","thyssenkrupp","new","herr","anleihen","gesetzentwurf","arbeit","street","klubs","leitzins","monaten","regierung"
"37","management","cameron","nachfrage","branche","biden","bildung","immobilienfonds","regierung","alten","markt","geschaeftsfuehrer","wirtschaft","zahl","politik"
"38","geschaeftsfuehrer","grossbritanniens","cent","hersteller","soldaten","macht","finanzkrise","urteil","bisschen","anlegern","universitaeten","waehrungsfonds","gestiegen","mehrheit"
"39","mittelstand","insel","wind","konkurrenten","dollar","geht","deutschen","kosten","gibt","dow","tourismus","regierung","umfrage","lindner"
"40","informationen","europaeische","grad","kunden","chinesen","system","branche","massnahmen","liebe","freitag","hochschule","europa","erwarten","soeder"
"41","nutzer","ungarn","bau","vorjahr","nato","glaube","versicherungen","bundestag","konnte","boersianer","universitaet","finanzmaerkten","duerfte","linke"
"42","nutzen","russlands","energieversorgung","operativen","russischen","verstehen","banker","bundes","kirche","staatsanleihen","wm","geld","china","westerwelle"
"43","computer","kommission","oelpreis","boersengang","hongkong","richtig","investieren","koalition","stunden","aktienkurse","aussteller","japan","zweiten","umfragen"
"44","technik","argentinien","emissionen","basf","york","buch","vermieter","forderung","film","fondsmanager","quadratmeter","finanzminister","exporte","merz"
"45","microsoft","frankreichs","branche","vergangenen","region","angst","allianz","mindestlohn","frueher","fiel","hannover","yen","stark","ministerpraesidenten"
"46","technologie","politische","umwelt","boerse","amerikanische","arbeit","investment","deutschland","haus","aktienmaerkten","klub","konjunktur","bruttoinlandsprodukt","bundeskanzler"
"47","gibt","verhandlungen","netz","autos","russische","politiker","anbieter","union","alte","haendler","veranstaltungen","bank","vergleich","kohl"
"48","innovationen","paris","gruene","zahlen","george","gesellschaftlichen","kredit","laender","beruf","vergangenen","spiele","risiken","minus","bundeskanzlerin"
"49","apple","eustaaten","bundesregierung","porsche","amerikas","vertrauen","hedgefonds","gesetzgeber","geht","aktienindex","  ","trichet","stimmung","stimmen"
"50","ki","eukommission","dollar","unternehmens","indien","autor","eigentuemer","gericht","gut","titel","flughafen","weltwirtschaft","vergangenen","muentefering"
"51","berger","konservativen","gold","aufsichtsrat","landes","generation","darlehen","forderte","lebt","notierte","dortmund","notenbanker","lage","macron"
"52","technologien","abkommen","hersteller","ag","volksrepublik","rolle","kfw","geplante","gerne","erwartet","senat","inflationsrate","halbjahr","kanzleramt"
"53","business","franzosen","rohstoffe","halbjahr","moskau","entscheidungen","investiert","gesetzliche","mensch","commerzbank","kuenstler","spanien","ersten","laschet"
"54","gerade","erdogan","bp","vorstand","syrien","geschichte","investmentbanking","regeln","ging","analyst","hoeness","bernanke","wirtschaftsforschung","minister"
