"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.5599","5.3146","4.5988","7.2427","6.1788","11.149","6.0289","7.0325","10.1048","9.4264","4.3774","7.2413","8.938","5.8072"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","brexit","oel","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wachstum","merkel"
"3","kunden","regierung","energien","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","banken","wirtschaft","partei"
"4","firmen","grossbritannien","energiewende","umsatz","peking","politik","anleger","gesetz","frauen","dollar","hamburger","geldpolitik","quartal","cdu"
"5","firma","russland","gas","milliarden","chinas","heute","kunden","spd","mann","investoren","muenchen","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","mio","obama","gibt","geld","eichel","menschen","analysten","millionen","notenbank","konjunktur","koalition"
"7","manager","land","preise","millionen","iran","deutschland","euro","arbeitnehmer","frau","boerse","messe","eurozone","unternehmen","gruenen"
"8","daten","britische","erneuerbaren","gewinn","krieg","freiheit","immobilien","arbeitgeber","eltern","boersen","berlin","inflation","deutschen","union"
"9","digitalisierung","britischen","barrel","quartal","washington","europa","versicherer","reform","familie","kurse","bayern","griechenland","rueckgang","schroeder"
"10","mitarbeitern","briten","eon","aktie","bush","soziale","sparkassen","gewerkschaften","leute","anleihen","saison","fed","deutsche","csu"
"11","digitale","london","tonnen","unternehmen","praesident","globalisierung","investoren","ig","maenner","gold","trainer","iwf","aufschwung","kanzlerin"
"12","google","parlament","co","mill","irak","demokratie","zinsen","berlin","vater","punkten","fc","staatsanleihen","entwicklung","angela"
"13","digitalen","tuerkei","pro","jahr","chinesischen","sozialen","rendite","beschaeftigten","paar","aktie","spieler","draghi","investitionen","stoiber"
"14","branche","premier","verbraucher","geschaeft","land","leben","aktien","metall","heute","aktienmarkt","berliner","euroraum","industrie","parteien"
"15","fuehrungskraefte","europaeischen","rwe","siemens","amerika","staat","wohnungen","unternehmen","erzaehlt","punkte","hochschulen","dollar","konsum","kanzler"
"16","startups","putin","opec","vorstandschef","amerikaner","buerger","altersvorsorge","arbeit","mutter","usa","studium","italien","deutlich","waehler"
"17","unternehmens","frankreich","klimaschutz","uebernahme","russland","zukunft","eigenkapital","kommission","stadt","bank","fussball","euro","arbeitsmarkt","ministerpraesident"
"18","neue","russischen","kohle","analysten","chinesische","tun","risiken","muesse","spaeter","fed","gaeste","europaeischen","rezession","sozialdemokraten"
"19","mittelstaendler","moskau","kraftwerke","rund","praesidenten","frage","vermoegen","regelung","buch","minus","verein","notenbanken","prognose","wahl"
"20","anbieter","may","preis","konzerns","staaten","politischen","markt","kommunen","jahre","papiere","mannschaft","europaeische","erwartet","wahlkampf"
"21","telekom","russische","produktion","geschaeftsjahr","trumps","wissen","kredite","rente","junge","index","messen","waehrung","oekonomen","seehofer"
"22","software","pfund","landwirtschaft","daimler","israel","fragen","immobilie","clement","kind","aktienmaerkte","kunst","usa","nachfrage","afd"
"23","arbeiten","europa","bauern","bayer","regierung","marktwirtschaft","kapital","gesetzlichen","tag","rendite","liga","schulden","erholung","bundestag"
"24","unternehmer","referendum","foerderung","vw","donald","bevoelkerung","renditen","gewerkschaft","geschichte","experten","euro","waehrungsunion","weltwirtschaft","bundestagswahl"
"25","produkte","polen","industrie","volkswagen","uspraesident","beispiel","commerzbank","fordert","jungen","woche","koeln","finanzmaerkte","bip","opposition"
"26","geschaeft","ukraine","klimawandel","aktionaere","afghanistan","brauchen","sparer","duerfen","zeit","quartal","besucher","zinssenkung","firmen","berlin"
"27","chef","praesident","liter","verkauf","demokraten","sicherheit","mieter","vorschlag","schule","maerkte","hotels","rezession","befragten","gabriel"
"28","gruender","landes","anlagen","lufthansa","amerikanischen","denken","bafin","betriebe","sohn","leitindex","reisen","krise","anstieg","liberalen"
"29","beispiel","union","erneuerbare","dollar","new","verantwortung","mieten","regelungen","kindern","wall","mark","kredite","kommenden","merkels"
"30","berater","johnson","jahr","ersten","republikaner","wissenschaft","risiko","verfahren","macht","plus","touristen","oekonomen","rechnet","amt"
