"","Topic 1: Corporate Culture","Topic 2: EU Conflicts","Topic 3: Energy & Climate Change Mitigation","Topic 4: Companies & Markets","Topic 5: Geopolitics","Topic 6: Society","Topic 7: Financial Markets I","Topic 8: German Politics I","Topic 9: Miscellaneous","Topic 10: Financial Markets II","Topic 11: Leisure & Hospitality","Topic 12: Central banks","Topic 13: German Economy","Topic 14: German Politics II"
"Proportion (%)","6.5877","5.2404","4.8038","7.242","6.2293","10.957","5.9808","7.0171","10.0502","9.4528","4.3751","7.1914","9.0779","5.7946"
"1","unternehmen","eu","strom","euro","china","menschen","bank","bundesregierung","  ","aktien","hamburg","ezb","jahr","spd"
"2","mitarbeiter","regierung","gas","konzern","trump","welt","banken","bund","leben","anleger","stadt","zentralbank","wirtschaft","merkel"
"3","kunden","brexit","oel","mrd","usa","gesellschaft","fonds","euro","kinder","dax","studenten","banken","wachstum","partei"
"4","firmen","grossbritannien","energien","umsatz","peking","politik","anleger","gesetz","mann","dollar","muenchen","geldpolitik","quartal","cdu"
"5","firma","russland","energiewende","milliarden","chinas","heute","kunden","spd","frauen","investoren","hamburger","zinsen","deutschland","fdp"
"6","internet","bruessel","energie","mio","krieg","gibt","euro","arbeitgeber","menschen","analysten","messe","inflation","unternehmen","koalition"
"7","manager","britische","erneuerbaren","millionen","iran","freiheit","geld","eichel","frau","boerse","millionen","notenbank","konjunktur","gruenen"
"8","daten","land","preise","gewinn","obama","deutschland","immobilien","arbeitnehmer","eltern","kurse","bayern","eurozone","deutschen","union"
"9","digitalisierung","britischen","co","quartal","russland","europa","versicherer","reform","familie","boersen","berlin","griechenland","rueckgang","csu"
"10","mitarbeitern","briten","tonnen","unternehmen","washington","soziale","sparkassen","gewerkschaften","leute","anleihen","fc","fed","deutsche","schroeder"
"11","digitale","london","barrel","aktie","chinesischen","demokratie","zinsen","ig","maenner","gold","spieler","iwf","aufschwung","kanzlerin"
"12","google","parlament","eon","geschaeft","praesident","globalisierung","wohnungen","beschaeftigten","paar","punkten","trainer","staatsanleihen","entwicklung","angela"
"13","startups","premier","pro","mill","bush","sozialen","investoren","metall","vater","aktie","saison","euroraum","investitionen","kanzler"
"14","digitalen","europaeischen","verbraucher","jahr","land","leben","rendite","berlin","heute","aktienmarkt","berliner","draghi","industrie","parteien"
"15","fuehrungskraefte","tuerkei","kohle","siemens","irak","buerger","aktien","unternehmen","erzaehlt","punkte","fussball","italien","konsum","stoiber"
"16","branche","frankreich","klimaschutz","vorstandschef","amerika","staat","eigenkapital","arbeit","mutter","usa","hochschulen","dollar","deutlich","waehler"
"17","neue","putin","rwe","rund","chinesische","zukunft","altersvorsorge","kommission","stadt","bank","studium","euro","arbeitsmarkt","ministerpraesident"
"18","unternehmens","moskau","preis","analysten","amerikaner","tun","kredite","muesse","spaeter","fed","gaeste","europaeischen","rezession","wahl"
"19","software","pfund","industrie","uebernahme","staaten","frage","immobilie","regelung","buch","minus","mannschaft","notenbanken","prognose","afd"
"20","mittelstaendler","russischen","kraftwerke","konzerns","praesidenten","politischen","markt","kommunen","jahre","papiere","verein","europaeische","erwartet","wahlkampf"
"21","arbeiten","may","produktion","geschaeftsjahr","trumps","wissen","vermoegen","rente","junge","index","messen","usa","oekonomen","sozialdemokraten"
"22","anbieter","europa","opec","daimler","putin","fragen","risiken","gewerkschaft","tag","rendite","kunst","schulden","nachfrage","seehofer"
"23","gruender","russische","erdgas","bayer","regierung","bevoelkerung","commerzbank","gesetzlichen","jungen","aktienmaerkte","besucher","waehrung","weltwirtschaft","bundestag"
"24","produkte","referendum","erneuerbare","volkswagen","israel","marktwirtschaft","kapital","clement","kind","experten","reisen","waehrungsunion","erholung","scholz"
"25","beispiel","polen","landwirtschaft","vw","donald","beispiel","mieter","fordert","geschichte","quartal","liga","rezession","firmen","bundestagswahl"
"26","telekom","johnson","anlagen","aktionaere","uspraesident","brauchen","renditen","betriebe","zeit","woche","euro","finanzmaerkte","bip","opposition"
"27","unternehmer","landes","bauern","verkauf","xi","denken","bafin","duerfen","schule","leitindex","hotels","oekonomen","befragten","berlin"
"28","geschaeft","praesident","foerderung","lufthansa","afghanistan","verantwortung","sparer","vorschlag","sohn","maerkte","sport","kredite","kommenden","liberalen"
"29","chef","union","klimawandel","ersten","demokraten","sicherheit","mieten","regelungen","kindern","zinsen","koeln","zinssenkung","anstieg","gabriel"
"30","berater","austritt","wasserstoff","dollar","sanktionen","wissenschaft","kaeufer","bahn","macht","wall","touristen","krise","rechnet","amt"
"31","amazon","koenigreich","liter","bmw","amerikanischen","politische","institute","entwurf","hause","renditen","mark","maerkte","verbraucher","merkels"
"32","markt","italien","ausbau","konzernchef","ukraine","recht","frankfurt","verfahren","alt","morgan","hotel","leitzinsen","plus","linken"
"33","facebook","premierminister","kosten","ergebnis","republikaner","wohlstand","risiko","regierung","job","plus","fans","staaten","vorjahr","bayern"
"34","familienunternehmen","berlusconi","jahr","sap","new","gerade","wirecard","handelsblatt","uhr","gewinne","veranstalter","anleihen","prognosen","politik"
"35","deutschland","ukraine","nachfrage","operative","welt","zeit","private","betroffenen","arbeit","usnotenbank","klubs","wachstum","rechnen","gerhard"
"36","geschaeftsfuehrer","sarkozy","wasser","thyssenkrupp","westen","bildung","anleihen","sprecher","sitzt","markt","bundesliga","wirtschaft","zahl","gruene"
"37","management","cameron","deutschland","branche","dollar","herr","immobilienfonds","urteil","alten","street","universitaeten","leitzins","monaten","regierung"
"38","mittelstand","grossbritanniens","cent","konkurrenten","soldaten","macht","deutschen","bundestag","bisschen","dow","geschaeftsfuehrer","waehrungsfonds","umfrage","mehrheit"
"39","intelligenz","insel","energieversorgung","hersteller","chinesen","system","finanzkrise","kosten","gibt","anlegern","tourismus","regierung","gestiegen","soeder"
"40","informationen","europaeische","oelpreis","kunden","biden","geht","versicherungen","gesetzentwurf","liebe","freitag","hochschule","geld","erwarten","linke"
"41","nutzer","russlands","grad","vorjahr","nato","glaube","branche","massnahmen","kirche","boersianer","universitaet","europa","exporte","westerwelle"
"42","nutzen","ungarn","bau","operativen","hongkong","verstehen","investieren","koalition","konnte","staatsanleihen","wm","finanzmaerkten","zweiten","lindner"
"43","computer","argentinien","wind","boersengang","york","arbeit","banker","bundes","film","aktienkurse","veranstaltungen","japan","duerfte","ministerpraesidenten"
"44","technik","kommission","emissionen","vergangenen","amerikanische","richtig","vermieter","mindestlohn","stunden","aktienmaerkten","quadratmeter","finanzminister","bruttoinlandsprodukt","umfragen"
"45","gibt","frankreichs","branche","autos","george","buch","allianz","deutschland","frueher","fiel","hannover","yen","china","merz"
"46","apple","politische","umwelt","boerse","russischen","angst","investment","forderung","alte","fondsmanager","aussteller","konjunktur","stark","bundeskanzler"
"47","microsoft","verhandlungen","dollar","basf","region","politiker","anbieter","union","haus","haendler","spiele","bank","vergleich","kohl"
"48","innovationen","paris","gold","zahlen","amerikas","gesellschaftlichen","hedgefonds","gesetzgeber","beruf","aktienindex","klub","trichet","minus","bundeskanzlerin"
"49","technologie","eustaaten","netz","unternehmens","russische","vertrauen","kredit","laender","geht","vergangenen","  ","risiken","stimmung","muentefering"
"50","berger","eukommission","hersteller","aufsichtsrat","landes","autor","investiert","geplante","gut","titel","flughafen","weltwirtschaft","vergangenen","macron"
"51","business","konservativen","gruene","ag","volksrepublik","generation","darlehen","forderte","lebt","notierte","dortmund","notenbanker","lage","stimmen"
"52","technologien","erdogan","bp","halbjahr","syrien","rolle","eigentuemer","gericht","gerne","commerzbank","senat","inflationsrate","halbjahr","laschet"
"53","netz","franzosen","rohstoffe","vorstand","vereinigten","entscheidungen","ertraege","milliarden","kunst","erwartet","hoeness","spanien","arbeitslosigkeit","kanzleramt"
"54","gerade","praesidenten","bundesregierung","porsche","europaeer","kapitalismus","kfw","gesetzliche","gefuehl","mdax","kuenstler","bernanke","wirtschaftsforschung","schaeuble"
"55","werbung","abkommen","rund","hauptversammlung","indien","geschichte","investmentbanking","rentenversicherung","mensch","analyst","urlauber","regierungen","ersten","minister"
"56","partner","brasilien","nord","fusion","barack","darf","preise","regeln","ging","verlor","bachelor","greenspan","wirtschaftswachstum","politischen"
"57","neuen","theresa","tonne","verlust","moskau","braucht","kaufen","bundesrat","kopf","euro","hansestadt","finanzkrise","wirtschaftsleistung","fraktion"
"58","beratung","regierungschef","erdoel","bank","armee","grenzen","jahren","bundesfinanzminister","fragt","jones","gmbh","bundesbank","branchen","gewaehlt"
"59","beispielsweise","mehrheit","winter","mitarbeiter","beziehungen","jahrhundert","immobilienmarkt","oeffentlichen","angst","erholung","bremen","chefvolkswirt","steigen","steinbrueck"
"60","industrie","premierministerin","benzin","dividende","europa","aufgabe","privaten","patienten","strasse","zaehler","tui","milliarden","institut","sonntag"
"61","online","politischen","erde","air","arabischen","handeln","bieten","vorschlaege","bilder","kurs","spielen","usnotenbank","eurozone","parteichef"
"62","deutschen","hollande","kohlendioxid","airbus","clinton","begriff","finanzaufsicht","heisst","erinnert","deutlich","muenchner","zinssenkungen","trotz","schulz"
"63","konzerne","franzoesischen","millionen","aktienkurs","militaerische","lernen","institut","kassen","namen","goldman","absolventen","duisenberg","rund","parteitag"
"64","unternehmensberatung","regierungschefs","markt","markt","gewalt","oekonomischen","geldhaeuser","arbeitsplaetze","wissen","notenbanken","vereine","zentralbanken","jahres","horst"
"65","cloud","europas","megawatt","autobauer","westlichen","gefuehl","lebensversicherung","koenne","essen","rund","league","griechischen","preise","linkspartei"
"66","startup","chirac","stream","gesamtjahr","weissen","kultur","geschaeft","kritisierte","lang","maerkten","master","lagarde","niveau","landtag"
"67","deutsche","sozialisten","versorger","sparte","fuehrung","debatte","privatanleger","einfuehrung","karriere","donnerstag","schueler","preisstabilitaet","insgesamt","landtagswahl"
"68","siemens","spanien","jahren","kaeser","nordkorea","veraenderungen","beispielsweise","umsetzung","tod","konjunkturdaten","zwei","waehrungshueter","punkte","wahlen"
"69","kommunikation","wladimir","kernenergie","tochter","nahen","gesellschaftliche","kapitalmarkt","bdi","geboren","jp","sommer","griechenlands","gesunken","edmund"
"70","studie","boris","atomkraftwerke","opel","politische","ordnung","geldanlage","erhalten","maedchen","unternehmen","hsv","griechische","usa","koalitionspartner"
"71","job","partei","mengen","management","w","institutionen","ackermann","arbeitsmarkt","glueck","bundesanleihen","stuttgart","ezbpraesident","aussichten","bundesregierung"
"72","silicon","de","gruenen","knapp","jinping","integration","anlegern","gutachten","all","goldpreis","team","ezbrat","folge","buendnis"
